,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418
49,fin,substituer,taux,taux,pouvoir,achat,retraités,mis,mal,mesures,gouvernementales,hausse,csg,gel,pensions,proposé,revaloriser,prestations,sociales,année,montant,inflation,prévu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,supprimer,article,article,prévoit,revalorisation,prestations,sociales,regard,inflation,retraites,inférieures,euros,allocations,familiales,pensions,retraite,supérieures,seuil,précité,augmentées,année,prochaine,pourcentage,inférieur,inflation,prévue,prévisions,or,principe,général,article,code,sécurité,sociale,revalorisation,prestations,sociales,indexée,inflation,éviter,perte,pouvoir,achat,bénéficiaires,prestations,gouvernement,prétend,défendre,pouvoir,achat,travers,plfss,article,démontre,contraire,attaquant,prestations,ménages,demandons,suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,supprimer,article,supprime,certificat,médical,obligatoire,exigée,pratique,sportive,jeunes,club,sein,fédération,prétexte,simplification,économies,budgétaires,gouvernement,supprime,protection,indispensable,enfants,détection,problèmes,cardiaques,asthme,problèmes,osseux,examen,médical,indispensable,devrait,inverse,renforcé,correctement,effectué,permettre,éviter,accidents,drames,constitue,cas,barrière,pratique,accès,médecin,enfants,devenu,difficile,raison,désertification,médicale,absence,médecine,scolaire,or,certificat,médical,obligatoire,accès,remboursé,remédier,problèmes,fonds,gouvernement,préfère,limiter,accès,proposons,suppression,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,article,code,sécurité,sociale,modifié,ii,inséré,ii,bis,rédigé,ii,bis,prix,vente,révisé,niveau,inférieur,baissé,convention,défaut,décision,comité,économique,produits,santé,cas,extension,indication,thérapeutique,nombre,patients,volume,ventes,tard,bout,toutefois,décret,prévu,iii,porter,délai,médicaments,répondant,conditions,spécifiques,fixées,regard,critères,mentionnés,seconde,iii,complété,mots,nombre,patients,volume,ventes,donnant,lieu,révision,prix,septembre,sécurité,sociale,cour,comptes,recommande,renforcer,dispositif,révision,prix,critères,révision,prix,médicaments,définis,lfss,existe,obligation,révision,prix,cour,comptes,recommande,établir,cas,issue,années,garantie,prix,européen,médicaments,innovants,bout,médicaments,cas,extension,indications,thérapeutiques,vise,déterminer,légalement,conditions,déclenchement,révision,prix,cas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,article,code,santé,publique,inséré,article,rédigé,art,zones,mentionnées,article,conventionnement,médecin,libéral,application,article,code,sécurité,sociale,intervenir,concomitance,cessation,activité,libérale,médecin,exerçant,conditions,équivalentes,zone,décret,conseil,état,fixe,modalités,application,article,désertification,médicale,cesse,accroître,territoire,malgré,existence,mesures,incitatives,aides,installation,développement,maisons,pluriprofessionnelles,santé,dispositifs,gouvernement,entend,renforcer,cadre,plan,accès,soins,montré,lutter,efficacement,contre,déserts,médicaux,vise,étendre,médecins,libéraux,dispositif,régulation,installation,existe,déjà,professionnels,santé,pharmacies,infirmiers,orthophonistes,prévoit,zones,définies,ars,concertation,syndicats,médicaux,existent,fort,excédent,matière,offre,soins,nouveau,médecin,libéral,installer,conventionné,assurance,maladie,lorsqu,médecin,libéral,zone,cesse,activité,principe,liberté,installation,demeure,conventionnement,manière,sélective,nouvelles,adoption,principe,conventionnement,sélectif,médecins,libéraux,permettrait,compléter,utilement,dispositifs,incitation,installation,zones,dotées,réformées,projet,matière,lutte,contre,déserts,médicaux,urgent,mobiliser,ensemble,solutions,particulier,déjà,preuves,professions,santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,délai,an,compter,publication,présente,gouvernement,remet,parlement,évaluant,impact,projet,financement,sécurité,sociale,qualité,vie,travail,personnels,établissements,objectif,évaluer,impact,plfss,qualité,vie,travail,personnels,établissements,santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,mois,compter,publication,présente,gouvernement,remet,parlement,impact,mise,place,groupements,hospitaliers,territoire,regard,offre,publique,soins,conditions,travail,personnels,hospitaliers,qualité,procède,évaluation,impacts,groupements,hospitaliers,territoire,regard,offre,publique,soins,conditions,travail,personnels,hospitaliers,qualité,soins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,mois,compter,publication,présente,gouvernement,remet,parlement,virage,ambulatoire,impacts,offre,publique,soins,qualité,soins,conditions,travail,personnels,politiques,santé,orientées,ambulatoire,prévoit,évaluation,effets,positifs,négatifs,virage,ambulatoire,impacts,offre,publique,soins,qualité,soins,conditions,travail,personnels,hospitaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,délai,an,compter,publication,présente,gouvernement,remet,parlement,évaluant,impact,dispositifs,exonération,cotisations,sociales,créations,emplois,salaires,investissement,annexe,plfss,retrace,mesures,exonérations,cotisations,sociales,très,sommaire,agissant,évaluation,dispositifs,constat,appuyé,cour,comptes,dernier,annuel,application,lois,financement,sécurité,sociale,indique,évaluations,efficacité,niches,sociales,perceptible,choix,publics,portent,champ,partiel,méthodologie,inégalement,robuste,évaluations,constatent,inefficacité,niches,rarement,remises,cause,préconise,mieux,évaluer,supprimer,niches,sociales,transformation,cice,réduction,pérenne,cotisations,sociales,montant,total,exonérations,allègements,généraux,exonérations,ciblées,exemptions,assiette,atteint,milliards,euros,milliards,euros,chiffrage,cour,comptes,coût,doublé,regard,jeu,nécessaire,représentation,nationale,connaissance,fine,usage,entreprises,proposé,travers,disposer,évaluation,précise,détaillée,impact,mesures,exonération,matière,emploi,salaires,investissements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ii,article,code,sécurité,sociale,taux,remplacé,taux,perte,recettes,sécurité,sociale,compensée,majoration,due,concurrence,droits,visés,articles,code,général,impôts,vise,exonérer,pensions,retraite,invalidité,exception,augmentation,point,taux,csg,applicable,janvier,retraites,inférieures,euros,brutes,connu,baisse,csg,fixé,suite,mouvement,gilets,jaunes,retraités,continuent,subir,hausse,injuste,csg,derniers,subiront,quasi,gel,pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,début,ii,article,code,sécurité,sociale,taux,remplacé,taux,entend,revenir,allègement,fiscalité,actions,gratuites,entériné,majorité,occasion,précédent,plfss,étude,impact,moment,débats,séance,perte,recettes,chiffrée,millions,euros,dispositif,attribution,gratuite,actions,concerne,essentiellement,salariés,très,bien,rémunérés,grands,groupes,dirigeants,coût,négligeable,finances,sociales,agit,outil,contournement,proposons,ramener,contribution,patronale,taux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,bis,article,code,action,sociale,familles,rédigé,bis,contribution,solidarité,actionnaires,taux,ensemble,dividendes,entreprises,vise,supprimer,contribution,prélevée,pensions,retraites,casa,financer,cnsa,pèse,pouvoir,achat,lieu,place,financement,dépendance,assuré,contribution,solidarité,actionnaires,csa,financer,adaptation,société,mettant,contribution,dividendes,versés,actionnaires,hauteur,pourrions,récupérer,milliard,euros,an,financement,caisse,nationale,solidarité,autonomie,cnsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ii,article,code,sécurité,sociale,complété,rédigé,réduction,applicable,entreprises,salariés,emploient,salariés,rémunération,inférieure,salaire,minimum,croissance,majoré,vise,limiter,bénéfice,allègements,généraux,cotisations,sociales,patronales,seules,entreprises,engagent,augmenter,rémunérations,éviter,phénomène,trappe,salaires,seules,entreprises,salariés,moitié,salariés,rémunérations,smic,pourraient,bénéficier,réductions,cotisations,patronales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,article,code,sécurité,sociale,inséré,article,rédigé,art,dispositions,article,applicables,réduction,exonération,cotisations,sécurité,sociale,instituée,compter,janvier,compensée,diminution,due,concurrence,réductions,exonérations,cotisations,sécurité,sociale,existantes,dispositifs,allègements,cotisations,sociales,patronales,élèvent,milliards,euros,doublé,coût,exorbitant,finances,publiques,dispositifs,efficaces,termes,créations,emplois,permettent,élévation,niveau,qualification,rémunération,travailleurs,limiter,inflation,dispositifs,crée,principe,dispositifs,exonération,cotisations,sociales,prévoyant,nouveau,dispositif,suppression,dispositif,existant,montant,équivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,article,code,général,impôts,communaux,insérés,mots,établissements,publics,santé,établissements,publics,hébergement,personnes,âgées,dépendantes,applique,taxe,salaires,due,raison,rémunérations,versées,compter,janvier,perte,recettes,sécurité,sociale,compensée,due,concurrence,majoration,droits,mentionnés,articles,code,général,prévoit,exonérer,établissements,publics,santé,ehpad,publics,taxe,salaires,déjà,état,collectivités,territoriales,personnels,hospitaliers,réclament,nouveaux,moyens,financiers,humains,ampleur,permettra,redéployer,milliards,euros,activité,hospitalière,financer,réouvertures,lits,embauches,revalorisations,salariales,ensemble,services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,section,chapitre,ii,titre,iv,livre,ii,code,sécurité,sociale,inséré,section,rédigée,section,cotisations,assises,revenus,financiers,art,revenus,financiers,sociétés,tenues,immatriculation,registre,commerce,sociétés,conformément,article,code,commerce,entendus,somme,dividendes,bruts,assimilés,intérêts,bruts,perçus,assujettis,contribution,taux,égal,somme,taux,cotisations,sociales,patronales,assises,rémunérations,gains,perçus,travailleurs,salariés,assimilés,soumettre,cotisations,sociales,revenus,financiers,sociétés,soumis,taux,actuels,cotisations,sociales,employeurs,branche,sécurité,sociale,contribution,capital,bien,collectif,sécurité,sociale,contribution,nouvelle,permettrait,mener,politique,sociale,active,répondant,véritablement,besoins,population,agit,incitation,forte,entreprises,privilégier,facteur,travail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,code,sécurité,sociale,modifié,iii,article,complétée,mots,pouvoir,excéder,compter,janvier,compter,janvier,ii,article,mots,dispositions,relatives,réduction,dégressive,cotisations,sociales,prévue,article,supprimés,ii,article,iii,article,article,mots,législation,réduction,dégressive,cotisations,sociales,mentionnée,article,supprimés,article,mots,articles,remplacés,mots,article,article,code,travail,mots,exonérations,cotisations,sociales,mentionnées,article,code,sécurité,sociale,titre,rémunérations,versées,année,manquement,constaté,période,pouvant,excéder,années,consécutives,compter,année,précédant,contrôle,remplacés,mots,chiffre,affaire,annuel,article,code,rural,pêche,maritime,référence,article,ordonnance,septembre,portant,extension,adaptation,département,dispositions,relatives,affaires,sociales,article,décembre,zone,franche,corse,vi,article,juin,orientation,incitation,réduction,temps,travail,mots,article,article,janvier,salaires,temps,travail,développement,emploi,dispositions,ii,vii,entrent,vigueur,janvier,supprime,manière,progressive,dispositif,fillon,allègements,généraux,cotisations,patronales,salaires,coût,annuel,finances,sociales,milliards,euros,sécurité,sociale,milliards,euros,branche,maladie,encourage,création,emplois,qualifiés,mal,rémunérés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,article,code,sécurité,sociale,complété,rédigé,dispositions,article,appliquent,revenus,distribués,sens,article,code,général,impôts,supérieurs,bénéfice,imposable,dernier,exercice,clos,allègement,cotisation,patronale,cice,accordé,contreparties,entreprises,représentant,somme,milliards,euros,défaut,obtenir,suppression,ici,proposé,limiter,effets,seules,entreprises,distribuent,dividendes,partie,substantielle,bénéfices,enregistrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,article,code,sécurité,sociale,modifié,modifié,références,ii,article,insérés,mots,rédaction,applicable,entrée,vigueur,portant,mesures,urgence,santé,hôpitaux,b,complété,mots,rédaction,applicable,date,insérés,alinéas,rédigés,rémunérations,versées,compter,janvier,taux,cotisations,assurance,maladie,mentionné,réduit,rémunérations,versées,compter,janvier,taux,réduit,points,ii,compter,janvier,article,code,sécurité,sociale,prévoit,extinction,progressive,allègement,cotisation,patronale,assurance,maladie,allègement,cice,représente,coût,annuel,milliards,euros,assurance,maladie,dispositif,distribué,entreprises,contreparties,montré,inefficacité,termes,création,emplois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,article,code,sécurité,sociale,taux,remplacé,taux,csg,revenus,activité,remplacement,salaires,pensions,retraites,augmenté,point,financer,baisse,cotisations,sociales,chômage,maladie,csg,revenus,capital,produits,placement,patrimoine,augmenté,proposons,travers,augmenter,csg,revenus,capital,points,progression,permettrait,rendement,supplémentaire,milliards,euros,profit,caisses,sécurité,sociale,permettrait,financer,exemple,revalorisation,inflation,prestations,sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,article,code,sécurité,sociale,chiffre,remplacé,chiffre,prévoit,limiter,champ,application,allègement,cotisations,patronales,familiales,allègement,issu,pacte,responsabilité,seuls,salaires,seules,rémunérations,inférieures,fois,démontré,conseil,analyse,économique,note,janvier,intitulé,baisse,charges,dispositif,applique,rémunérations,fois,smic,inefficace,termes,créations,emplois,compétitivité,couteux,finances,sociales,perte,recettes,milliards,euros,branche,nouveau,ciblage,proposé,ramener,milliards,euros,recettes,nouvelles,sécurité,sociale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
