,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,"('saad', 5)","('attribution', 4)","('enveloppe', 3)","('million', 3)","('décret', 3)","('financement', 3)","('modalités', 2)","('tarification', 2)","('fait', 2)","('domicile', 2)","('année', 2)","('entre', 2)","('habilités', 2)","('compléter', 1)","('suivante', 1)","('cinquante', 1)","('euro', 1)","('susvisée', 1)","('précisées', 1)","('application', 1)","('répondent', 1)","('enjeu', 1)","('démographique', 1)","('actuel', 1)","('personnes', 1)","('souhaitent', 1)","('majoritairement', 1)","('rester', 1)","('contexte', 1)","('mai', 1)"
11,"('intervention', 3)","('mode', 3)","('mot', 2)","('défini', 2)","('substituer', 1)","('prestataire', 1)","('public', 1)","('fragiles', 1)","('visés', 1)","('article', 1)","('recours', 1)","('différents', 1)","('type', 1)","('savoir', 1)","('emploi', 1)","('direct', 1)","('particulier', 1)","('employeur', 1)","('service', 1)","('mandataire', 1)","('cette', 1)","('omet', 1)","('vise', 1)","('donc', 1)","('intégrer', 1)","('ensemble', 1)","('domicile', 1)","('simplifier', 1)","('vie', 1)","('toutes', 1)"
12,"('date', 3)","('janvier', 2)","('septembre', 2)","('nouveau', 2)","('projet', 2)","('si', 2)","('première', 1)","('substituer', 1)","('proche', 1)","('aidant', 1)","('doit', 1)","('faire', 1)","('analyse', 1)","('approfondie', 1)","('juger', 1)","('efficience', 1)","('articulation', 1)","('entre', 1)","('différents', 1)","('congés', 1)","('niveaux', 1)","('indemnisation', 1)","('cependant', 1)","('cette', 1)","('remise', 1)","('hors', 1)","('voulons', 1)","('cela', 1)","('plus', 1)","('efficace', 1)"
13,"('médicalisée', 4)","('produits', 4)","('article', 3)","('maîtrise', 3)","('santé', 3)","('ceps', 3)","('comité', 2)","('action', 2)","('permet', 2)","('régulation', 2)","('dépenses', 2)","('liste', 2)","('approche', 2)","('conventionnelle', 2)","('objectifs', 2)","('titre', 1)","('vi', 1)","('livre', 1)","('i', 1)","('code', 1)","('sécurité', 1)","('sociale', 1)","('modifié', 1)","('deuxième', 1)","('complété', 1)","('parune', 1)","('rédigée', 1)","('toute', 1)","('assurer', 1)","('respect', 1)"
14,"('suppression', 2)","('gestion', 2)","('financement', 2)","('hospitalier', 2)","('cette', 2)","('réforme', 2)","('hôpital', 2)","('substituer', 1)","('trois', 1)","('alinéas', 1)","('suivants', 1)","('article', 1)","('code', 1)","('sécurité', 1)","('sociale', 1)","('modifié', 1)","('a', 1)","('i', 1)","('supprimé', 1)","('b', 1)","('seconde', 1)","('ii', 1)","('supprimée', 1)","('vise', 1)","('entreprendre', 1)","('comme', 1)","('moyen', 1)","('système', 1)","('effet', 1)","('si', 1)"
15,"('sécurité', 3)","('sociale', 3)","('qualité', 3)","('code', 2)","('soins', 2)","('tarification', 2)","('activité', 2)","('rédiger', 1)","('i', 1)","('article', 1)","('supprimés', 1)","('modification', 1)","('entreprises', 1)","('sein', 1)","('faites', 1)","('unique', 1)","('but', 1)","('tendre', 1)","('meilleure', 1)","('notamment', 1)","('psychiatrie', 1)","('modifier', 1)","('mode', 1)","('gestion', 1)","('établissements', 1)","('si', 1)","('travers', 1)","('nouveau', 1)","('projet', 1)","('finance', 1)"
16,"('professionnels', 6)","('santé', 5)","('libéraux', 4)","('affiliés', 4)","('régime', 4)","('taxe', 4)","('sécurité', 3)","('sociale', 3)","('taux', 3)","('cotisations', 3)","('additionnelle', 3)","('revenus', 3)","('cette', 3)","('article', 2)","('code', 2)","('a', 2)","('praticiens', 2)","('auxiliaires', 2)","('médicaux', 2)","('pamc', 2)","('tirés', 2)","('activité', 2)","('dépassements', 2)","('honoraires', 2)","('entre', 2)","('i', 1)","('perte', 1)","('recettes', 1)","('compensée', 1)","('due', 1)"
17,"('choix', 5)","('dispositif', 3)","('médical', 3)","('assurer', 2)","('libre', 2)","('faisant', 2)","('remise', 2)","('état', 2)","('imposé', 2)","('notamment', 2)","('personnes', 2)","('substituer', 1)","('alinéas', 1)","('suivant', 1)","('usager', 1)","('respecté', 1)","('garantir', 1)","('entre', 1)","('neuf', 1)","('motif', 1)","('budgétaires', 1)","('ceci', 1)","('conformément', 1)","('article', 1)","('février', 1)","('égalité', 1)","('droits', 1)","('chance', 1)","('participation', 1)","('citoyenneté', 1)"
18,"('peut', 2)","('être', 2)","('obligation', 2)","('substituer', 1)","('mot', 1)","('remplacer', 1)","('terme', 1)","('permet', 1)","('renforcer', 1)","('garantie', 1)","('remise', 1)","('bon', 1)","('état', 1)","('usage', 1)","('dispositifs', 1)","('médicaux', 1)","('notamment', 1)","('car', 1)","('fauteuil', 1)","('roulants', 1)","('visés', 1)","('disposition', 1)","('utilisés', 1)","('personnes', 1)","('particulièrement', 1)","('fragiles', 1)","('handicap', 1)","('avancée', 1)","('âge', 1)","('souffrant', 1)"
19,"('origine', 2)","('pièces', 2)","('détachées', 2)","('sécurité', 2)","('doivent', 2)","('i', 1)","('substituer', 1)","('peut', 1)","('doit', 1)","('conséquence', 1)","('compléter', 1)","('mot', 1)","('utilisées', 1)","('réparations', 1)","('neuves', 1)","('compatibles', 1)","('périodes', 1)","('garantie', 1)","('garanties', 1)","('sanitaire', 1)","('faire', 1)","('particulière', 1)","('vigilance', 1)","('lorsqu', 1)","('agit', 1)","('personne', 1)","('handicap', 1)","('avancée', 1)","('âge', 1)","('fragilité', 1)"
20,"('activité', 4)","('taux', 4)","('occupation', 4)","('établissement', 3)","('être', 3)","('offre', 3)","('sans', 3)","('article', 2)","('peut', 2)","('aucun', 2)","('ca', 2)","('appréciée', 2)","('exclusivement', 2)","('regard', 2)","('service', 2)","('objectif', 2)","('financement', 2)","('section', 1)","('chapitre', 1)","('iii', 1)","('titre', 1)","('ier', 1)","('livre', 1)","('ii', 1)","('code', 1)","('action', 1)","('sociale', 1)","('famille', 1)","('modifiée', 1)","('après', 1)"
21,"('référencement', 6)","('produits', 5)","('cette', 5)","('conséquence', 3)","('dispositifs', 3)","('médicaux', 3)","('donc', 3)","('supprimer', 2)","('alinéas', 2)","('article', 2)","('rédigé', 2)","('risque', 2)","('choix', 2)","('compensation', 2)","('handicap', 2)","('ailleurs', 2)","('comme', 2)","('iga', 2)","('raison', 2)","('disposition', 2)","('i', 1)","('rédiger', 1)","('après', 1)","('inséré', 1)","('iii', 1)","('mise', 1)","('place', 1)","('mécanisme', 1)","('ville', 1)","('pose', 1)"
22,"('aah', 5)","('cette', 3)","('allocation', 3)","('disposition', 2)","('effet', 2)","('droits', 2)","('automatiquement', 2)","('plus', 2)","('entre', 2)","('retraite', 2)","('caisse', 2)","('supprimer', 1)","('alinéas', 1)","('régime', 1)","('substitution', 1)","('initié', 1)","('prête', 1)","('confusion', 1)","('laisse', 1)","('entendre', 1)","('adultes', 1)","('handicapés', 1)","('prendraient', 1)","('fin', 1)","('cumul', 1)","('possible', 1)","('pourtant', 1)","('nombreuses', 1)","('garanties', 1)","('législatives', 1)"
23,"('mode', 3)","('financement', 3)","('établissements', 3)","('gouvernement', 2)","('parlement', 2)","('plus', 2)","('état', 2)","('tarification', 2)","('activité', 2)","('avantages', 2)","('inconvénients', 2)","('systèmes', 2)","('a', 2)","('système', 2)","('présente', 1)","('tard', 1)","('décembre', 1)","('faisant', 1)","('efficacité', 1)","('sein', 1)","('hospitaliers', 1)","('public', 1)","('privés', 1)","('fait', 1)","('financière', 1)","('différents', 1)","('crise', 1)","('urgences', 1)","('permis', 1)","('mettre', 1)"
24,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('cette', 2)","('notamment', 2)","('effets', 2)","('contemporanéité', 2)","('participation', 2)","('financière', 2)","('bénéficiaires', 2)","('part', 2)","('induits', 2)","('prestataires', 2)","('plus', 2)","('entre', 2)","('où', 2)","('personnes', 2)","('mesurer', 2)","('effet', 2)","('saad', 2)","('prix', 2)","('apa', 2)","('pch', 2)","('convient', 2)","('ni', 2)","('compléter', 1)","('suivante', 1)","('gouvernement', 1)","('remet', 1)"
25,"('clause', 4)","('sauvegarde', 4)","('dispositifs', 4)","('médicaux', 4)","('sus', 4)","('entreprises', 4)","('place', 3)","('liste', 3)","('mécanisme', 3)","('capacité', 3)","('soins', 3)","('santé', 3)","('approche', 3)","('dépenses', 3)","('produits', 3)","('mise', 2)","('comptable', 2)","('qualité', 2)","('pertinence', 2)","('pourtant', 2)","('accord', 2)","('générer', 2)","('maîtrise', 2)","('mécanismes', 2)","('constitue', 2)","('déjà', 2)","('régulation', 2)","('alors', 2)","('dont', 2)","('elles', 2)"
26,"('disposition', 6)","('charge', 5)","('consigne', 5)","('chapitre', 4)","('certains', 4)","('être', 4)","('cette', 4)","('produits', 3)","('dispositifs', 3)","('pouvant', 3)","('supprimer', 2)","('mise', 2)","('place', 2)","('procédure', 2)","('référencement', 2)","('suppression', 2)","('article', 2)","('prévoit', 2)","('accès', 2)","('prise', 2)","('rupture', 2)","('égalité', 2)","('patient', 2)","('dispositif', 2)","('ailleurs', 2)","('handicap', 2)","('pourquoi', 2)","('alinéas', 1)","('introduit', 1)","('plusieurs', 1)"
27,"('sécurité', 5)","('dispositifs', 4)","('être', 4)","('personnes', 4)","('médicaux', 3)","('cette', 3)","('risque', 3)","('confort', 3)","('supprimer', 2)","('état', 2)","('puisse', 2)","('apparait', 2)","('sanitaire', 2)","('condition', 2)","('traçabilité', 2)","('vigueur', 2)","('garanties', 2)","('dispositif', 2)","('ensemble', 2)","('alinéas', 1)","('chapitre', 1)","('prévoit', 1)","('certains', 1)","('puissent', 1)","('remis', 1)","('bon', 1)","('usage', 1)","('rend', 1)","('possible', 1)","('prise', 1)"
28,"('professionnels', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('sociale', 4)","('libéraux', 4)","('affiliés', 4)","('régime', 4)","('code', 3)","('taux', 3)","('cotisations', 3)","('pamc', 3)","('taxe', 3)","('additionnelle', 3)","('a', 2)","('rsi', 2)","('revenus', 2)","('activité', 2)","('entre', 2)","('cette', 2)","('i', 1)","('perte', 1)","('recettes', 1)","('compensée', 1)","('due', 1)","('concurrence', 1)","('majoration', 1)","('droits', 1)","('mentionnés', 1)","('général', 1)"
29,"('professionnels', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('sociale', 4)","('libéraux', 4)","('affiliés', 4)","('régime', 4)","('code', 3)","('taux', 3)","('cotisations', 3)","('pamc', 3)","('taxe', 3)","('additionnelle', 3)","('a', 2)","('rsi', 2)","('revenus', 2)","('activité', 2)","('entre', 2)","('cette', 2)","('i', 1)","('perte', 1)","('recettes', 1)","('compensée', 1)","('due', 1)","('concurrence', 1)","('majoration', 1)","('droits', 1)","('mentionnés', 1)","('général', 1)"
30,"('article', 9)","('i', 8)","('code', 7)","('sécurité', 7)","('sociale', 6)","('cotisations', 5)","('patronales', 4)","('montant', 4)","('ii', 4)","('mentionnés', 3)","('général', 3)","('économique', 3)","('salariés', 2)","('application', 2)","('quater', 2)","('déduction', 2)","('forfaitaire', 2)","('être', 2)","('entreprises', 2)","('plus', 2)","('salarié', 2)","('condition', 2)","('limite', 2)","('due', 2)","('bénéfice', 2)","('subordonné', 2)","('respect', 2)","('majoration', 2)","('permettra', 2)","('après', 1)"
31,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('cette', 2)","('notamment', 2)","('effets', 2)","('contemporanéité', 2)","('participation', 2)","('financière', 2)","('bénéficiaires', 2)","('part', 2)","('induits', 2)","('prestataires', 2)","('plus', 2)","('entre', 2)","('où', 2)","('personnes', 2)","('mesurer', 2)","('effet', 2)","('saad', 2)","('prix', 2)","('apa', 2)","('pch', 2)","('convient', 2)","('ni', 2)","('compléter', 1)","('suivante', 1)","('gouvernement', 1)","('remet', 1)"
32,"('service', 7)","('article', 5)","('code', 4)","('établissement', 4)","('actes', 4)","('soins', 3)","('social', 3)","('règles', 3)","('établissements', 3)","('entre', 3)","('sociaux', 3)","('cadre', 2)","('prise', 2)","('charge', 2)","('santé', 2)","('action', 2)","('sociale', 2)","('familles', 2)","('tarification', 2)","('organisation', 2)","('modalités', 2)","('qualification', 2)","('aide', 2)","('lors', 2)","('expérimenter', 2)","('dérogations', 2)","('formes', 2)","('parcours', 2)","('personnes', 2)","('sujet', 2)"
33,"('article', 9)","('i', 8)","('code', 7)","('sécurité', 7)","('sociale', 6)","('cotisations', 5)","('patronales', 4)","('montant', 4)","('ii', 4)","('mentionnés', 3)","('général', 3)","('économique', 3)","('salariés', 2)","('application', 2)","('quater', 2)","('déduction', 2)","('forfaitaire', 2)","('être', 2)","('entreprises', 2)","('plus', 2)","('salarié', 2)","('condition', 2)","('limite', 2)","('due', 2)","('bénéfice', 2)","('subordonné', 2)","('respect', 2)","('majoration', 2)","('permettra', 2)","('après', 1)"
34,"('intervention', 5)","('mode', 4)","('mot', 2)","('prestataire', 2)","('défini', 2)","('mandataire', 2)","('expérimentation', 2)","('emploi', 2)","('direct', 2)","('substituer', 1)","('organisme', 1)","('service', 1)","('vise', 1)","('intégrer', 1)","('contemporanéisation', 1)","('crédit', 1)","('impôt', 1)","('effet', 1)","('projet', 1)","('prévoit', 1)","('heure', 1)","('actuelle', 1)","('particulier', 1)","('employeur', 1)","('omettant', 1)","('souvent', 1)","('rattaché', 1)","('monde', 1)","('intégrant', 1)","('expressément', 1)"
35,"('service', 3)","('domicile', 3)","('appel', 3)","('utilisateurs', 3)","('modalités', 2)","('accès', 2)","('faisant', 2)","('a', 2)","('prestataires', 2)","('compléter', 1)","('mot', 1)","('mise', 1)","('place', 1)","('expérimentation', 1)","('contemporanéisation', 1)","('crédit', 1)","('impôt', 1)","('restent', 1)","('encore', 1)","('imprécises', 1)","('bénéficiaires', 1)","('effet', 1)","('ministère', 1)","('santé', 1)","('indiqué', 1)","('certains', 1)","('aide', 1)","('sélectionnés', 1)","('base', 1)","('volontariat', 1)"
36,"('santé', 5)","('publique', 3)","('accord', 3)","('préalable', 3)","('moment', 2)","('motif', 2)","('code', 2)","('permet', 2)","('assurance', 2)","('article', 2)","('cette', 2)","('sou', 2)","('tout', 2)","('après', 1)","('insérer', 1)","('mot', 1)","('collège', 1)","('directeurs', 1)","('union', 1)","('nationale', 1)","('caisses', 1)","('maladie', 1)","('uncam', 1)","('subordonner', 1)","('prise', 1)","('charge', 1)","('certaines', 1)","('prestations', 1)","('service', 1)","('contrôle', 1)"
37,"('santé', 4)","('code', 3)","('accord', 3)","('préalable', 3)","('moment', 2)","('publique', 2)","('permet', 2)","('assurance', 2)","('maladie', 2)","('prestations', 2)","('médical', 2)","('article', 2)","('cette', 2)","('sou', 2)","('tout', 2)","('dont', 2)","('doit', 2)","('être', 2)","('après', 1)","('insérer', 1)","('mot', 1)","('ca', 1)","('prévus', 1)","('deuxième', 1)","('troisième', 1)","('alinéas', 1)","('ii', 1)","('collège', 1)","('directeurs', 1)","('union', 1)"
38,"('contribution', 13)","('produits', 12)","('charcuterie', 10)","('état', 7)","('autre', 6)","('additifs', 5)","('vers', 5)","('partie', 4)","('a', 4)","('destinés', 4)","('i', 4)","('personnes', 4)","('santé', 4)","('ii', 3)","('titre', 3)","('nitrés', 3)","('leurs', 3)","('france', 3)","('elles', 3)","('membre', 3)","('union', 3)","('européenne', 3)","('accord', 3)","('espace', 3)","('économique', 3)","('européen', 3)","('exportation', 3)","('pay', 3)","('tier', 3)","('attestation', 3)"
39,"('recherche', 7)","('public', 4)","('développement', 4)","('prix', 3)","('crédit', 3)","('impôt', 3)","('première', 2)","('médicament', 2)","('investissements', 2)","('biomédicale', 2)","('définition', 2)","('financement', 2)","('scientifiques', 2)","('part', 2)","('seconde', 1)","('premier', 1)","('i', 1)","('article', 1)","('code', 1)","('sécurité', 1)","('sociale', 1)","('après', 1)","('occurrence', 1)","('insérés', 1)","('mot', 1)","('réalisés', 1)","('industry', 1)","('notamment', 1)","('r', 1)","('amp', 1)"
40,"('taux', 3)","('a', 2)","('article', 2)","('code', 2)","('sécurité', 2)","('sociale', 2)","('système', 2)","('rémunération', 2)","('imposée', 2)","('autant', 2)","('i', 1)","('remplacé', 1)","('perte', 1)","('recettes', 1)","('compensée', 1)","('due', 1)","('concurrence', 1)","('création', 1)","('taxe', 1)","('additionnelle', 1)","('droits', 1)","('visés', 1)","('général', 1)","('plusieurs', 1)","('années', 1)","('entreprises', 1)","('répartition', 1)","('pharmaceutique', 1)","('plus', 1)","('adapté', 1)"
41,"('offre', 3)","('spécialités', 2)","('soins', 2)","('libérale', 2)","('deuxième', 1)","('après', 1)","('insérer', 1)","('mot', 1)","('lorsque', 1)","('répond', 1)","('besoins', 1)","('population', 1)","('mise', 1)","('place', 1)","('consultation', 1)","('hôpitaux', 1)","('proximité', 1)","('peut', 1)","('concevoir', 1)","('complément', 1)","('sen', 1)",,,,,,,,,
42,"('autoévaluation', 4)","('examen', 4)","('médicaux', 4)","('toutefois', 3)","('personnes', 3)","('exerçant', 3)","('autorité', 3)","('parentale', 3)","('plus', 3)","('preuve', 3)","('écrite', 3)","('réalisation', 3)","('obligatoires', 3)","('santé', 3)","('cette', 3)","('sportive', 3)","('accompagnent', 2)","('sportif', 2)","('récente', 2)","('prévus', 2)","('article', 2)","('code', 2)","('publique', 2)","('sportifs', 2)","('fédération', 2)","('i', 1)","('compléter', 1)","('rédigée', 1)","('conséquence', 1)","('après', 1)"
43,"('accueil', 3)","('collectivités', 2)","('territoriales', 2)","('opérateurs', 2)","('privés', 2)","('gestionnaires', 2)","('enfants', 2)","('après', 1)","('référence', 1)","('art', 1)","('insérer', 1)","('mot', 1)","('faciliter', 1)","('processus', 1)","('attribution', 1)","('place', 1)","('judicieux', 1)","('associer', 1)","('coopération', 1)","('entre', 1)","('établissements', 1)","('service', 1)","('mentionnés', 1)","('deux', 1)","('premier', 1)","('alinéas', 1)","('article', 1)","('code', 1)","('santé', 1)","('publique', 1)"
44,"('clause', 4)","('sauvegarde', 4)","('dispositifs', 4)","('médicaux', 4)","('sus', 4)","('entreprises', 4)","('place', 3)","('liste', 3)","('mécanisme', 3)","('capacité', 3)","('soins', 3)","('santé', 3)","('approche', 3)","('dépenses', 3)","('produits', 3)","('supprimer', 2)","('mise', 2)","('comptable', 2)","('qualité', 2)","('pertinence', 2)","('pourtant', 2)","('accord', 2)","('générer', 2)","('maîtrise', 2)","('mécanismes', 2)","('constitue', 2)","('déjà', 2)","('régulation', 2)","('alors', 2)","('dont', 2)"
45,"('prise', 3)","('article', 2)","('charge', 2)","('dispositifs', 2)","('fauteuil', 2)","('roulants', 2)","('cette', 2)","('consigne', 2)","('disposition', 2)","('supprimer', 1)","('introduit', 1)","('possibilité', 1)","('certains', 1)","('médicaux', 1)","('déjà', 1)","('utilisés', 1)","('reconditionnés', 1)","('notamment', 1)","('selon', 1)","('liste', 1)","('limitative', 1)","('concernés', 1)","('déterminée', 1)","('conditionne', 1)","('assurance', 1)","('maladie', 1)","('paiement', 1)","('assuré', 1)","('pourrait', 1)","('faire', 1)"
46,"('article', 3)","('travail', 3)","('malady', 3)","('professionnelles', 3)","('mieux', 3)","('code', 2)","('voie', 2)","('réglementaire', 2)","('cotisations', 2)","('entreprises', 2)","('prévention', 2)","('risques', 2)","('professionnels', 2)","('sécurité', 1)","('sociale', 1)","('complété', 1)","('deux', 1)","('alinéas', 1)","('rédigés', 1)","('instauré', 1)","('malus', 1)","('fixé', 1)","('employeurs', 1)","('due', 1)","('titre', 1)","('accident', 1)","('pris', 1)","('mesures', 1)","('nécessaires', 1)","('éliminer', 1)"
47,"('travail', 3)","('pathology', 2)","('psychiques', 2)","('liées', 2)","('première', 1)","('second', 1)","('article', 1)","('code', 1)","('sécurité', 1)","('sociale', 1)","('complétée', 1)","('mot', 1)","('reprend', 1)","('recommandation', 1)","('information', 1)","('parlementaire', 1)","('février', 1)","('épuisement', 1)","('professionnel', 1)","('burn', 1)","('out', 1)","('initiative', 1)","('députés', 1)","('yves', 1)","('censi', 1)","('gérard', 1)","('proposé', 1)","('commission', 1)","('chargée', 1)","('apprécier', 1)"
48,"('actes', 3)","('sanction', 2)","('ar', 2)","('objectifs', 2)","('logique', 2)","('directeur', 2)","('possibilité', 2)","('établissement', 2)","('prescription', 2)","('supprimer', 1)","('alinéas', 1)","('financières', 1)","('peuvent', 1)","('être', 1)","('imposées', 1)","('établissements', 1)","('santé', 1)","('respectent', 1)","('prévus', 1)","('cadre', 1)","('contrat', 1)","('amélioration', 1)","('qualité', 1)","('efficience', 1)","('soins', 1)","('caques', 1)","('article', 1)","('plf', 1)","('renforce', 1)","('cette', 1)"
49,"('taux', 2)","('fin', 1)","('substituer', 1)","('pouvoir', 1)","('achat', 1)","('retraités', 1)","('mi', 1)","('mal', 1)","('diver', 1)","('mesures', 1)","('gouvernementales', 1)","('hausse', 1)","('csg', 1)","('gel', 1)","('pension', 1)","('proposé', 1)","('revaloriser', 1)","('toutes', 1)","('prestations', 1)","('sociales', 1)","('année', 1)","('montant', 1)","('inflation', 1)","('prévu', 1)",,,,,,
50,"('article', 4)","('prestations', 4)","('inflation', 3)","('revalorisation', 2)","('sociales', 2)","('selon', 2)","('pouvoir', 2)","('achat', 2)","('supprimer', 1)","('prévoit', 1)","('sou', 1)","('regard', 1)","('retraites', 1)","('inférieures', 1)","('euro', 1)","('allocation', 1)","('familiales', 1)","('pension', 1)","('retraite', 1)","('supérieures', 1)","('seuil', 1)","('précité', 1)","('augmentées', 1)","('année', 1)","('prochaine', 1)","('pourcentage', 1)","('inférieur', 1)","('prévue', 1)","('prévisions', 1)","('or', 1)"
51,"('médical', 3)","('problèmes', 3)","('accès', 3)","('plus', 3)","('article', 2)","('supprime', 2)","('certificat', 2)","('obligatoire', 2)","('pratique', 2)","('gouvernement', 2)","('indispensable', 2)","('enfants', 2)","('supprimer', 1)","('exigée', 1)","('sportive', 1)","('jeunes', 1)","('club', 1)","('sein', 1)","('fédération', 1)","('prétexte', 1)","('simplification', 1)","('économies', 1)","('budgétaires', 1)","('protection', 1)","('détection', 1)","('cardiaques', 1)","('asthme', 1)","('osseux', 1)","('examen', 1)","('devrait', 1)"
