"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Fréquent4',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)","('Mot Important4',)",0
ressource,santé,consultation,comité,insérer,rédiger,prévoir,maladie,8
santé,objectif,représentant,ville,social,sécurité,pouvoir,public,8
santé,versement,conseil,répartition,permettre,insérer,prévoir,dispositif,8
suivi,représentant,acteur,conseil,santé,vise,insérer,maladie,7
choix,libre,rédiger,degré,faire,rédiger,dispositif,degré,7
an,date,décembre,réforme,permettre,compléter,national,mettre,7
prix,médicament,degré,bout,pouvoir,devoir,vise,permettre,7
coordination,besoin,territoire,modalité,pouvoir,santé,vise,rédiger,7
social,soin,établissement,service,devoir,insérer,rédiger,prévoir,7
crédit,aide,devoir,charge,social,sécurité,insérer,dispositif,7
enfant,allocation,aeeh,handicap,devoir,permettre,charge,degré,6
financement,santé,psychiatrie,mental,permettre,supprimer,compléter,année,6
année,activité,cotisation,revenu,sécurité,permettre,prévoir,droit,6
droit,complémentaire,bénéficiaire,aah,social,sécurité,permettre,faire,6
santé,prévention,sportif,visite,social,charge,maladie,état,6
urgence,téléconsultation,prise,charge,permettre,rédiger,financement,degré,6
médicament,plasma,dériver,difficulté,devoir,faire,insérer,année,6
attribution,saad,enveloppe,million,vise,faire,prévoir,charge,6
médicament,plasma,entreprise,manquement,sécurité,pouvoir,devoir,faire,6
sécurité,social,lier,financement,devoir,public,rédiger,degré,6
familial,politique,social,principe,vise,faire,rédiger,financement,6
médicament,taux,croissance,année,social,sécurité,santé,devoir,6
téléconsultation,parcours,soin,développement,social,sécurité,vise,faire,6
terme,obligation,substituer,pouvoir,pouvoir,devoir,supprimer,dispositif,6
revalorisation,aah,prévoir,social,sécurité,permettre,supprimer,insérer,6
professionnel,santé,sécurité,social,devoir,vise,financement,droit,6
social,sécurité,compensation,état,permettre,supprimer,public,prévoir,5
public,établissement,santé,service,social,sécurité,pouvoir,vise,5
ressource,santé,objectif,activité,insérer,rédiger,maladie,soin,5
médicament,pourcent,sécurité,taux,devoir,permettre,public,droit,5
ressource,santé,consultation,comité,social,sécurité,insérer,rédiger,5
médicament,plasma,dériver,exception,insérer,maladie,année,proposer,5
bilan,activité,physique,santé,vise,public,charge,financement,5
entreprise,salarié,prime,exceptionnel,social,sécurité,vise,insérer,5
médicament,innovant,nouveau,reconnaître,pouvoir,santé,supprimer,public,5
médical,dispositif,mécanisme,clause,devoir,permettre,faire,charge,5
social,sécurité,cotisation,patronal,pouvoir,vise,supprimer,insérer,5
activité,pouvoir,apprécier,regard,social,permettre,insérer,rédiger,5
public,recherche,prix,médicament,pouvoir,vise,insérer,rédiger,5
établissement,santé,public,meilleur,social,sécurité,pouvoir,vise,5
famille,parent,entreprise,indemnité,devoir,vise,supprimer,prévoir,5
social,général,impôt,charge,sécurité,devoir,faire,supprimer,5
vaccin,production,fabrication,sécurité,pouvoir,devoir,vise,faire,5
social,dispositif,cotisation,emploi,devoir,permettre,prévoir,charge,5
santé,sécurité,social,dépense,insérer,rédiger,prévoir,nouveau,5
hôpital,proximité,activité,financement,supprimer,proposer,conséquence,établissement,5
vie,évaluation,donnée,réel,social,sécurité,vise,permettre,5
actionnaire,bien,sanofi,industrie,faire,supprimer,public,maladie,5
intervention,mode,prestataire,définir,vise,public,degré,perte,5
social,salaire,montant,haut,pouvoir,vise,insérer,rédiger,5
social,établissement,service,acte,devoir,insérer,rédiger,prévoir,5
charge,patient,pied,diabétique,vise,permettre,faire,financement,5
certification,prestation,délai,matériel,santé,devoir,public,charge,5
cancer,patient,traitement,charge,devoir,permettre,faire,insérer,5
dette,vi,plan,activité,sécurité,devoir,faire,insérer,5
degré,bière,pourcent,vol,vise,rédiger,droit,général,5
prix,révision,médicament,an,devoir,vise,permettre,faire,5
contribution,santé,professionnel,devoir,social,sécurité,supprimer,public,4
sécurité,social,cotisation,titre,permettre,financement,compléter,droit,4
prime,naissance,mois,date,devoir,faire,prévoir,financement,4
convention,actuel,médical,nouveau,permettre,supprimer,an,cadre,4
droit,allocation,invalidité,sécurité,vise,insérer,rédiger,dispositif,4
femme,médicaliser,complètement,établissement,santé,supprimer,dispositif,mettre,4
social,service,établissement,fonds,devoir,vise,permettre,public,4
familial,revenu,allocation,modulation,pouvoir,public,charge,nouveau,4
prime,social,cotisation,contribution,pouvoir,devoir,vise,supprimer,4
familial,handicap,prestation,parent,pouvoir,devoir,vise,faire,4
expérimentation,service,saad,cesu,social,permettre,prévoir,charge,4
unification,supprimer,urssaf,institution,supprimer,état,objectif,travail,4
expérimentation,santé,tiers,payer,social,sécurité,maladie,état,4
urgence,patient,passage,forfait,santé,vise,faire,prévoir,4
assurance,pourcent,organisme,demander,santé,prévoir,soin,substituer,4
social,pourcent,prestation,groupe,prévoir,état,année,nouveau,4
sécurité,social,agence,prévoir,devoir,supprimer,financement,état,4
contribution,cotisation,année,percevoir,santé,organisme,proposer,substituer,4
sécurité,social,trajectoire,recette,faire,supprimer,public,financement,4
garantie,santé,contrat,complémentaire,social,sécurité,faire,prévoir,4
certificat,médical,santé,supprimer,social,sécurité,vise,public,4
assistant,maternel,supprimer,venir,supprimer,nouveau,cas,concerner,4
charge,patient,prestation,hospitalisation,sécurité,pouvoir,santé,permettre,4
social,cotisation,protection,nouveau,pouvoir,permettre,supprimer,conséquence,4
social,cotisation,exonération,salaire,sécurité,pouvoir,permettre,faire,4
indemnité,parent,famille,journalier,supprimer,national,assurance,cas,4
social,année,sécurité,faire,pouvoir,devoir,vise,perte,4
proposition,caisse,social,efficace,sécurité,devoir,faire,supprimer,4
chiffre,affaire,entreprise,supprimer,devoir,vise,maladie,pourcent,4
social,sécurité,compensation,état,faire,supprimer,prévoir,charge,4
sécurité,social,action,entreprise,devoir,vise,faire,droit,4
exonération,social,évaluation,dispositif,sécurité,supprimer,public,financement,4
devoir,conseil,supprimer,adaptation,social,sécurité,supprimer,charge,4
ssiad,infirmier,indu,sécurité,pouvoir,devoir,insérer,rédiger,4
ssiad,indu,acte,cpam,insérer,rédiger,dispositif,soin,4
distribuer,bénéfice,entreprise,sécurité,social,sécurité,rédiger,compléter,4
soin,établissement,degré,autonomie,permettre,rédiger,prévoir,condition,4
dispositif,supprimer,médical,technique,devoir,vise,permettre,rédiger,4
public,établissement,général,impôt,social,sécurité,permettre,faire,4
dispositif,social,cotisation,sécurité,devoir,permettre,public,insérer,4
enfant,place,jeune,sécurité,devoir,permettre,financement,dispositif,4
enfant,protection,santé,bilan,devoir,vise,insérer,dispositif,4
entreprise,aide,bénéficier,état,social,devoir,faire,public,4
entreprise,eti,taille,pouvoir,devoir,faire,rédiger,charge,4
biologie,condition,médical,insérer,permettre,prévoir,degré,ensemble,4
social,établissement,soin,service,santé,permettre,insérer,rédiger,4
degré,isolement,contention,insérer,santé,faire,public,insérer,4
durée,social,droit,sécurité,sécurité,maladie,assurance,relatif,4
produit,contribution,charcuterie,état,vise,faire,rédiger,financement,4
juge,rédiger,liberté,détention,pouvoir,devoir,vise,prévoir,4
travailleur,indépendant,cotisation,voie,social,supprimer,france,contribution,4
besoin,handicap,financement,métier,social,sécurité,pouvoir,public,4
entreprise,salarié,rémunération,salaire,sécurité,pouvoir,vise,rédiger,4
social,sécurité,public,rupture,faire,dispositif,degré,maladie,4
supprimer,suppression,modulation,indemnité,supprimer,cadre,travail,application,4
téléconsultation,cadre,santé,consultation,social,sécurité,vise,permettre,4
social,sécurité,production,audiovisuel,pouvoir,devoir,supprimer,charge,4
entreprise,supprimer,proposer,prix,social,santé,état,général,4
entreprise,travail,dissimulé,sanction,sécurité,pouvoir,permettre,supprimer,4
social,sécurité,perte,recette,santé,devoir,vise,permettre,4
social,sécurité,perte,recette,pouvoir,santé,vise,supprimer,4
secret,industriel,donnée,professionnel,public,insérer,dispositif,professionnel,4
atu,montant,charge,prise,santé,supprimer,public,prévoir,4
social,compensation,sécurité,perte,faire,supprimer,prévoir,pourcent,4
médical,certificat,santé,groupe,supprimer,état,an,professionnel,4
santé,supprimer,sportif,faire,social,permettre,état,général,4
référence,substituer,correction,erreur,substituer,matériel,erreur,correction,4
établissement,migac,meilleur,dotation,social,sécurité,pouvoir,vise,4
nombre,social,entreprise,substituer,sécurité,devoir,état,pourcent,4
origin,pièce,détachée,réparation,pouvoir,faire,dispositif,compléter,4
âge,bénéficiaire,santé,fonction,social,devoir,vise,faire,4
activité,hôpital,année,proximité,pouvoir,santé,supprimer,réaliser,4
médecin,conventionnement,libéral,expérimentation,pouvoir,permettre,faire,public,4
médecin,libéral,zone,installation,social,sécurité,vise,permettre,4
santé,hôpital,ondam,social,sécurité,pouvoir,devoir,supprimer,4
régime,retraite,spécial,recouvrement,vise,permettre,supprimer,public,4
réforme,supprimer,vise,revenir,social,sécurité,pouvoir,vise,4
médical,sportif,problème,accès,pouvoir,devoir,supprimer,proposer,4
ondam,hospitalier,santé,service,supprimer,public,pourcent,soin,4
ondam,aller,pourcent,hôpital,santé,supprimer,public,fixer,4
revalorisation,métier,social,professionnel,faire,public,charge,financement,4
établissement,acte,sanction,ars,pouvoir,santé,supprimer,public,4
médicament,patient,critère,intérêt,vise,insérer,rédiger,prévoir,4
registre,compléter,degré,insérer,santé,permettre,public,insérer,4
numéro,identification,pièce,social,permettre,insérer,rédiger,droit,4
pourcent,taux,fin,substituer,social,pouvoir,prévoir,année,4
sanction,travail,dissimulé,exonération,sécurité,pouvoir,permettre,proposer,4
prestation,familial,famille,insérer,devoir,insérer,degré,année,4
mois,an,évaluation,remplacer,pouvoir,vise,prévoir,compléter,4
revalorisation,social,pourcent,prestation,sécurité,pouvoir,permettre,supprimer,4
santé,tiers,payer,dentaire,social,sécurité,pouvoir,maladie,4
santé,tiers,payer,maladie,sécurité,pouvoir,permettre,public,4
zone,géographique,modifier,coefficient,social,vise,permettre,faire,4
santé,tiers,payer,maladie,vise,permettre,public,insérer,4
plan,cotisant,dette,délai,devoir,rédiger,prévoir,financement,4
établissement,relever,forfait,santé,pouvoir,devoir,financement,maladie,4
année,famille,faire,prestation,social,pouvoir,devoir,vise,4
ondam,hospitalier,supprimer,très,pouvoir,devoir,vise,faire,3
suivi,représentant,acteur,conseil,santé,vise,compléter,maladie,3
compensation,social,exonération,principe,pouvoir,devoir,supprimer,public,3
compensation,social,supprimer,référence,supprimer,état,perte,recette,3
sécurité,social,état,faire,vise,permettre,perte,recette,3
ophtalmologiste,opticien,expérimentation,pouvoir,social,sécurité,public,prévoir,3
substituer,pouvoir,devoir,vise,pouvoir,devoir,vise,substituer,3
option,professionnel,supprimer,accident,social,sécurité,permettre,prévoir,3
degré,supprimer,référence,soin,pouvoir,vise,compléter,état,3
public,patient,dispositif,nécessaire,santé,prévoir,charge,compléter,3
supprimer,condition,examen,médical,sécurité,vise,sanitaire,réaliser,3
supprimer,conséquence,charge,début,social,sécurité,santé,vise,3
commission,médical,indépendant,existence,santé,vise,supprimer,insérer,3
dotation,parlement,établissement,régional,vise,public,rédiger,prévoir,3
taux,pourcent,social,action,sécurité,permettre,dispositif,degré,3
supprimer,contribution,santé,professionnel,public,prévoir,conséquence,territoire,3
revenu,part,degré,majorer,devoir,permettre,faire,droit,3
public,rupture,conventionnel,fonction,social,faire,supprimer,disposition,3
revenu,santé,substituer,âge,social,montant,viser,matière,3
professionnel,travail,maladie,risque,sécurité,santé,devoir,faire,3
sportif,consultation,pratique,médical,pouvoir,vise,dispositif,proposer,3
départemental,établissement,conseils,second,santé,rédiger,concerner,fin,3
régime,supprimer,retraite,faire,devoir,vise,général,compenser,3
décision,retraite,retraité,fois,social,pouvoir,charge,état,3
obésité,ambulance,transport,soin,sécurité,vise,faire,pourcent,3
politique,familial,famille,prendre,pouvoir,vise,public,conséquence,3
offre,fonds,indemnisation,compter,pouvoir,santé,vise,financement,3
public,psychiatrie,établissement,santé,social,insérer,financement,concerner,3
droit,allocation,sécurité,social,vise,rédiger,dispositif,concerner,3
droit,allocation,invalidité,sécurité,vise,rédiger,dispositif,concerner,3
classe,rupture,thérapeutique,rédaction,sécurité,pouvoir,permettre,supprimer,3
compléter,mois,date,précédent,social,permettre,charge,compléter,3
degré,entreprise,investissement,cotisation,pouvoir,rédiger,dispositif,compléter,3
degré,référence,organe,urgence,vise,dernier,cadre,substituer,3
sécurité,vigilance,origin,pièce,faire,compléter,nouveau,cas,3
part,majorer,supplémentaire,montant,devoir,permettre,rédiger,droit,3
professionnel,maladie,social,travail,sécurité,santé,devoir,permettre,3
sécurité,social,compensation,politique,faire,proposer,assurer,dépense,3
professionnel,ordre,santé,remboursement,sécurité,devoir,insérer,rédiger,3
participation,urgence,degré,passage,pouvoir,santé,devoir,supprimer,3
consommation,alcool,tabac,information,pouvoir,devoir,vise,faire,3
sécurité,social,exonération,dispositif,devoir,prévoir,compléter,droit,3
organisme,contribution,complémentaire,faire,santé,compléter,maladie,état,3
patient,devoir,accès,internet,santé,état,général,soin,3
professionnel,santé,activité,libéral,public,financement,dispositif,droit,3
sécurité,vigilance,devoir,substituer,pouvoir,faire,dispositif,cas,3
sécurité,social,prévoit,exonération,pouvoir,faire,supprimer,prévoir,3
sécurité,social,substituer,abroger,santé,public,rédiger,financement,3
contention,mécanique,insérer,conséquence,insérer,conséquence,fin,patient,3
aah,retraite,disposition,droit,pouvoir,devoir,vise,permettre,3
sécurité,santé,public,agence,devoir,vise,supprimer,financement,3
sécurité,santé,agence,national,social,pouvoir,devoir,vise,3
cotisation,revenu,capital,agriculteur,pouvoir,devoir,faire,supprimer,3
cotisation,social,supprimer,contribution,sécurité,devoir,vise,supprimer,3
couvertur,bénéficiaire,social,droit,sécurité,rédiger,prévoir,dispositif,3
produit,santé,fournisseur,distributeur,faire,supprimer,professionnel,travail,3
produit,information,santé,développement,faire,rédiger,financement,mettre,3
date,janvier,septembre,nouveau,social,sécurité,pouvoir,devoir,3
présence,parental,disposition,pouvoir,vise,prévoir,charge,degré,3
réduction,cotisation,revenu,employeur,pouvoir,vise,permettre,faire,3
organisme,numéro,décembre,social,devoir,vise,supprimer,charge,3
degré,biologique,substitution,médicament,permettre,faire,supprimer,public,3
degré,charge,participation,pouvoir,santé,vise,supprimer,prévoir,3
compléter,présence,effectif,site,santé,vise,permettre,public,3
organisme,contribution,régime,branche,pouvoir,santé,compléter,proposer,3
public,médicament,prix,recherche,social,sécurité,vise,insérer,3
réparation,indemnisation,intégral,préjudice,charge,dispositif,compléter,droit,3
laboratoire,million,médicament,prélever,social,sécurité,santé,permettre,3
salarié,entreprise,seuil,supprimer,sécurité,devoir,compléter,droit,3
santé,territorial,projet,mental,vise,faire,public,insérer,3
hospitalier,hôtel,ambulatoire,séjour,pouvoir,santé,devoir,permettre,3
guichet,unique,information,autonomie,social,pouvoir,insérer,dispositif,3
maladie,rare,atu,patient,pouvoir,vise,supprimer,nouveau,3
social,exonération,btp,activité,supprimer,financement,degré,droit,3
france,pourcent,dernier,ensemble,supprimer,maladie,an,prendre,3
social,faire,sécurité,compensation,rédiger,financement,état,général,3
santé,service,social,établissement,vise,permettre,insérer,compléter,3
financement,établissement,sécurité,social,vise,faire,insérer,rédiger,3
mise,degré,réserve,santé,devoir,faire,financement,compléter,3
prestation,social,délivrer,organisme,sécurité,prévoir,état,organisme,3
financement,psychiatrie,modèle,mise,social,sécurité,devoir,permettre,3
prestation,social,inflation,prévoir,sécurité,supprimer,général,année,3
recherche,produit,public,contribution,pouvoir,permettre,faire,compléter,3
recherche,médicament,investissement,public,social,sécurité,santé,devoir,3
revalorisation,social,prestation,pourcent,permettre,année,national,perte,3
prestation,familial,conduire,million,vise,insérer,rédiger,degré,3
social,pouvoir,police,judiciaire,sécurité,permettre,rédiger,compléter,3
hôpital,libéral,supprimer,proximité,public,état,national,conséquence,3
hôpital,proximité,activité,volume,faire,supprimer,public,conséquence,3
enfant,médecin,sportif,parcours,social,permettre,prévoir,assurance,3
hôpital,proximité,complètement,ondam,devoir,supprimer,financement,établissement,3
juge,liberté,détention,saisine,pouvoir,rédiger,établissement,disposition,3
juge,liberté,détention,délai,rédiger,disposition,dernier,cas,3
licence,office,transparence,insérer,santé,faire,rédiger,prévoir,3
inégalité,retraite,prestation,million,faire,supprimer,proposer,an,3
investissement,établissement,santé,aide,social,sécurité,devoir,vise,3
investissement,médicament,prix,sécurité,vise,permettre,insérer,dispositif,3
santé,versement,répartition,régional,permettre,insérer,prévoir,dispositif,3
seuil,entreprise,nombre,concurrence,social,sécurité,devoir,vise,3
seuil,entreprise,nombre,social,sécurité,devoir,dispositif,compléter,3
seuil,salarié,entreprise,supprimer,social,sécurité,devoir,vise,3
smic,cotisation,nombre,rémunération,social,sécurité,vise,supprimer,3
social,calcul,crise,revenu,sécurité,pouvoir,permettre,faire,3
indemnité,journalier,parent,famille,devoir,prévoir,charge,dispositif,3
indemnité,collectif,compléter,versement,social,sécurité,pouvoir,vise,3
prestation,million,inégalité,taux,faire,supprimer,proposer,prévoit,3
social,compensation,sécurité,supprimer,devoir,vise,faire,charge,3
maison,naissance,femme,enceinte,social,sécurité,vise,permettre,3
prestation,charge,prise,opticien,social,sécurité,soin,condition,3
famille,supprimer,maladie,degré,social,sécurité,degré,nouveau,3
famille,pourcent,familial,allocation,social,sécurité,perte,nouveau,3
santé,payer,degré,tiers,rédiger,compléter,année,titre,3
prix,médicament,degré,amélioration,devoir,insérer,rédiger,compléter,3
médical,supprimer,visite,certificat,social,conseil,suppression,convier,3
médicament,biologique,similaire,traitement,pouvoir,supprimer,rédiger,prévoir,3
santé,encadrement,cadre,téléconsultation,social,sécurité,faire,compléter,3
médicament,critère,intérêt,qualité,vise,insérer,rédiger,prévoir,3
social,sécurité,prévoir,exonération,supprimer,maladie,état,pourcent,3
santé,degré,transparence,compléter,vise,permettre,public,rédiger,3
santé,contrat,complémentaire,charge,social,sécurité,vise,permettre,3
médicament,nouveau,déjà,prix,social,sécurité,devoir,rédiger,3
entreprise,salarié,employeur,compléter,social,sécurité,vise,supprimer,3
santé,centre,exercice,professionnel,vise,charge,compléter,nouveau,3
pouvoir,supprimer,quotidiennement,fauteuil,vise,année,raison,créer,3
entreprise,pharmaceutique,lot,marché,insérer,national,perte,nouveau,3
médicament,recherche,matière,santé,permettre,public,compléter,concerner,3
médicament,sang,dériver,sécurité,santé,vise,public,rédiger,3
entreprise,degré,réduction,investissement,pouvoir,rédiger,dispositif,compléter,3
pourcent,taux,contribution,urp,social,sécurité,public,financement,3
entreprise,travail,supprimer,système,sécurité,pouvoir,devoir,permettre,3
santé,expérimentation,régional,vaccination,pouvoir,devoir,public,financement,3
social,sécurité,nombre,allègement,pouvoir,charge,perte,proposer,3
familial,famille,prestation,allocation,social,sécurité,prévoir,pourcent,3
famille,parent,entreprise,indemnité,devoir,rédiger,charge,perte,3
recherche,médicament,investissement,public,santé,devoir,compléter,maladie,3
santé,ondam,représentant,ville,social,sécurité,pouvoir,public,3
famille,enfant,cause,cas,permettre,insérer,maladie,patient,3
représentant,degré,prise,charge,devoir,faire,public,insérer,3
montant,nouveau,ondam,lit,permettre,état,année,soin,3
qualité,vie,travail,prise,social,sécurité,pouvoir,devoir,3
qualité,vie,travail,financement,social,sécurité,pouvoir,devoir,3
médecin,état,santé,zone,pouvoir,faire,public,insérer,3
santé,infirmier,public,vaccination,sécurité,faire,financement,an,3
santé,indice,territoire,régional,social,permettre,public,insérer,3
qualité,insérer,vie,professionnel,sécurité,vise,degré,état,3
expérimentation,saad,engagement,supprimer,supprimer,financement,national,proposer,3
social,sécurité,allégement,titre,pouvoir,faire,supprimer,prévoir,3
santé,hpv,femme,an,devoir,charge,financement,année,3
santé,grippe,expérimentation,régional,devoir,permettre,financement,établissement,3
médicament,prévoit,taux,chiffre,sécurité,pouvoir,devoir,faire,3
aah,allocation,disposition,droit,social,sécurité,supprimer,prévoir,3
établissement,santé,répartition,investissement,devoir,vise,faire,compléter,3
allocation,enfant,aeeh,complément,santé,devoir,permettre,faire,3
étude,réaliser,transfert,hôpital,social,pouvoir,devoir,vise,3
aidant,décès,aider,droit,pouvoir,vise,permettre,insérer,3
tiers,payer,santé,professionnel,social,sécurité,vise,insérer,3
agir,aidant,nombre,durée,pouvoir,insérer,perte,condition,3
accueil,faire,syndicat,collectif,social,sécurité,devoir,supprimer,3
économique,novembre,février,exonération,sécurité,devoir,faire,dispositif,3
autonomie,accès,prestation,âgé,social,vise,permettre,faire,3
établissement,femme,zone,moment,pouvoir,devoir,faire,dispositif,3
activité,tarification,santé,établissement,social,sécurité,pouvoir,public,3
autonomie,droit,universel,cnsa,social,insérer,degré,établissement,3
état,budget,santé,sécurité,faire,supprimer,public,charge,3
état,usage,dispositif,médical,sécurité,pouvoir,devoir,vise,3
urgence,supprimer,mettre,place,pouvoir,santé,devoir,public,3
accès,médicament,patient,dispositif,devoir,compléter,droit,année,3
établissement,santé,caqe,supprimer,devoir,rédiger,prévoir,maladie,3
autonomie,branche,supplémentaire,contribution,santé,permettre,faire,insérer,3
association,accord,perte,recette,social,sécurité,vise,insérer,3
transparence,médicament,prix,medicament,santé,devoir,permettre,public,3
charge,patient,pied,diabétique,social,sécurité,vise,permettre,3
éviter,bonus,malus,compléter,social,sécurité,dispositif,compléter,3
biologie,médical,laboratoire,condition,prévoir,dernier,professionnel,ensemble,3
acteur,pénurie,prendre,préalable,sécurité,pouvoir,santé,vise,3
aeeh,concertation,devoir,transfert,pouvoir,faire,prévoir,état,3
année,juillet,entreprise,clause,social,sécurité,pouvoir,devoir,3
établissement,mise,calcul,amélioration,social,sécurité,pouvoir,santé,3
évaluation,prestation,fraude,social,sécurité,santé,insérer,rédiger,3
téléconsultation,soin,parcours,consultation,permettre,faire,insérer,maladie,3
urgence,degré,participation,passage,pouvoir,devoir,supprimer,public,3
aeeh,concertation,famille,allocation,faire,supprimer,titre,cadre,3
aérien,social,exonération,degré,sécurité,pouvoir,faire,insérer,3
autonomie,droit,garantir,branche,pouvoir,insérer,degré,perte,3
activité,établissement,pouvoir,apprécier,vise,permettre,insérer,rédiger,3
service,urgence,ville,financement,pouvoir,supprimer,insérer,soin,2
visite,domicile,médical,actuel,charge,compléter,maladie,soin,2
août,opportunité,prise,charge,pouvoir,devoir,permettre,dispositif,2
santé,établissement,soin,pertinence,public,pourcent,général,nouveau,2
vin,taxe,produit,an,pouvoir,supprimer,prévoir,droit,2
vise,supprimer,suppression,exonérer,supprimer,prestation,suppression,verser,2
service,domicile,appel,prestataire,pouvoir,santé,faire,dispositif,2
insérer,degré,santé,sécurité,permettre,rédiger,financement,année,2
juge,informer,médecin,liberté,pouvoir,faire,supprimer,droit,2
investissement,médicament,développement,insérer,santé,état,objectif,cadre,2
isolement,contention,durée,juge,santé,devoir,vise,public,2
juge,liberté,contention,saisir,permettre,droit,disposition,substituer,2
charge,supprimer,sénat,tarification,vise,prévoir,dispositif,maladie,2
ski,sécurité,social,cotisation,devoir,rédiger,compléter,droit,2
social,cotisation,sécurité,mettre,pouvoir,financement,compléter,perte,2
générique,médicament,prix,dispositif,social,sécurité,permettre,faire,2
social,degré,sécurité,revenu,pouvoir,devoir,vise,prévoir,2
heure,rémunération,salarié,supplémentaire,vise,permettre,faire,supprimer,2
heure,supplémentaire,travail,rémunération,rédiger,charge,dispositif,degré,2
social,degré,prévoir,ordonnance,vise,droit,général,nouveau,2
honoraire,pourcent,médecin,dépassement,social,sécurité,insérer,rédiger,2
social,date,janvier,rédiger,sécurité,vise,supprimer,rédiger,2
charge,prise,hospitalisation,santé,pouvoir,vise,insérer,maladie,2
social,csg,revenu,augmenter,degré,maladie,proposer,activité,2
hôpital,proximité,activité,financement,faire,supprimer,conséquence,établissement,2
innovation,financement,recherche,établissement,pouvoir,permettre,faire,objectif,2
assistant,maternel,social,sanitaire,pouvoir,vise,faire,public,2
social,cotisation,section,sécurité,permettre,insérer,rédiger,nouveau,2
hôpital,public,année,établissement,permettre,financement,compléter,droit,2
social,condition,mise,œuvre,sécurité,pouvoir,vise,permettre,2
incapacité,social,travail,long,pouvoir,soin,nouveau,conséquence,2
indemnisation,fonds,délai,mois,vise,rédiger,terme,inscrire,2
social,compensation,sécurité,perte,vise,faire,supprimer,prévoir,2
social,charge,assurance,maladie,permettre,faire,insérer,financement,2
social,an,sécurité,dispositif,devoir,supprimer,prévoir,financement,2
social,cotisation,section,sécurité,permettre,faire,rédiger,dispositif,2
santé,établissement,ensemble,ressource,devoir,vise,permettre,rédiger,2
santé,établissement,président,conseil,vise,faire,insérer,rédiger,2
mineur,an,acte,contraceptif,pouvoir,supprimer,proposer,objectif,2
zone,médecin,santé,libéral,vise,faire,insérer,rédiger,2
maternel,assistant,site,or,pouvoir,supprimer,dispositif,année,2
maternel,employeur,agrément,coordonnée,social,pouvoir,permettre,faire,2
maternel,suspension,agrément,retrait,social,devoir,permettre,dispositif,2
santé,soin,public,maladie,sécurité,pouvoir,devoir,permettre,2
maternité,répondre,fermeture,supprimer,santé,devoir,supprimer,financement,2
ancienneter,prime,pouvoir,classification,devoir,faire,insérer,année,2
mayotte,étranger,prestation,an,vise,insérer,national,relatif,2
santé,régulation,prise,charge,social,sécurité,pouvoir,public,2
santé,représentant,ville,objectif,social,sécurité,pouvoir,public,2
zone,médecin,santé,soin,vise,faire,insérer,rédiger,2
maladie,travail,psychique,lier,vise,faire,compléter,année,2
santé,public,accord,préalable,social,sécurité,insérer,prévoir,2
santé,prévoir,accord,préalable,social,sécurité,insérer,charge,2
santé,prévention,insérer,conséquence,social,pouvoir,devoir,vise,2
mission,prévention,état,supprimer,social,sécurité,santé,devoir,2
mission,rôle,cnsa,nouveau,vise,compléter,proposer,objectif,2
an,ostéoporose,fracture,expérimentation,social,sécurité,santé,devoir,2
mois,convention,devoir,année,pouvoir,vise,permettre,prévoir,2
