"('Mot Fréquent1',)","('Mot Fréquent2',)","('Mot Fréquent3',)","('Mot Important1',)","('Mot Important2',)","('Mot Important3',)",0
seuil,entreprise,nombre,social,sécurité,devoir,3
sécurité,social,compensation,faire,proposer,assurer,3
hôpital,proximité,complètement,devoir,supprimer,financement,3
hôpital,proximité,activité,faire,supprimer,public,3
hôpital,libéral,supprimer,public,état,national,3
maison,naissance,femme,social,sécurité,vise,3
social,exonération,btp,supprimer,financement,degré,3
laboratoire,million,médicament,social,sécurité,santé,3
couvertur,bénéficiaire,social,sécurité,rédiger,prévoir,3
smic,cotisation,nombre,social,sécurité,vise,3
investissement,médicament,prix,vise,permettre,insérer,3
degré,charge,participation,santé,vise,supprimer,3
degré,charge,participation,pouvoir,santé,devoir,3
degré,biologique,substitution,permettre,faire,supprimer,3
insérer,profession,rédactionnel,insérer,profession,rédactionnel,3
social,compensation,sécurité,devoir,vise,faire,3
indemnité,journalier,parent,devoir,prévoir,charge,3
investissement,établissement,santé,social,sécurité,devoir,3
juge,liberté,détention,pouvoir,rédiger,établissement,3
date,janvier,septembre,social,sécurité,pouvoir,3
inégalité,retraite,prestation,faire,supprimer,proposer,3
degré,entreprise,investissement,pouvoir,rédiger,dispositif,3
social,calcul,crise,sécurité,pouvoir,permettre,3
indemnité,collectif,compléter,social,sécurité,pouvoir,3
jour,période,consécutif,permettre,insérer,nouveau,3
hospitalier,hôtel,ambulatoire,pouvoir,santé,devoir,3
sécurité,social,exonération,devoir,prévoir,compléter,3
maladie,rare,atu,pouvoir,vise,supprimer,3
compensation,social,supprimer,supprimer,état,perte,3
compléter,présence,effectif,santé,vise,permettre,3
santé,représentant,ville,social,sécurité,pouvoir,3
compléter,mois,date,social,permettre,charge,3
degré,supprimer,référence,pouvoir,vise,compléter,3
taux,pourcent,social,sécurité,permettre,dispositif,3
complémentaire,taux,pourcent,pouvoir,faire,général,3
compensation,social,exonération,pouvoir,devoir,supprimer,3
santé,service,social,vise,permettre,insérer,3
financement,établissement,sécurité,vise,faire,insérer,3
commission,médical,indépendant,santé,vise,supprimer,3
supprimer,contribution,santé,public,prévoir,conséquence,3
médecin,état,santé,pouvoir,faire,public,3
santé,payer,degré,rédiger,compléter,année,3
santé,ondam,représentant,social,sécurité,pouvoir,3
social,pouvoir,police,sécurité,permettre,rédiger,3
montant,nouveau,ondam,permettre,état,année,3
social,faire,sécurité,rédiger,financement,état,3
sécurité,vigilance,devoir,pouvoir,faire,dispositif,3
guichet,unique,information,social,pouvoir,insérer,3
sécurité,social,prévoit,pouvoir,faire,supprimer,3
santé,établissement,garantie,vise,permettre,faire,3
degré,référence,organe,vise,dernier,cadre,3
sécurité,social,substituer,santé,public,rédiger,3
sécurité,social,état,vise,permettre,perte,3
sécurité,vigilance,origin,faire,compléter,nouveau,3
santé,territorial,projet,vise,faire,public,3
santé,versement,répartition,permettre,insérer,prévoir,3
contention,mécanique,insérer,insérer,conséquence,fin,3
mise,degré,réserve,devoir,faire,financement,3
social,maladie,dépense,faire,supprimer,année,3
consommation,alcool,tabac,pouvoir,devoir,vise,3
santé,grippe,expérimentation,devoir,permettre,financement,3
santé,hpv,femme,devoir,charge,financement,3
aah,allocation,disposition,social,sécurité,supprimer,3
public,psychiatrie,établissement,social,insérer,financement,3
social,sécurité,nombre,pouvoir,charge,perte,3
social,sécurité,prévoir,supprimer,maladie,état,3
réduction,cotisation,revenu,pouvoir,vise,permettre,3
activité,établissement,pouvoir,vise,permettre,insérer,3
droit,social,organisme,devoir,vise,supprimer,3
départemental,établissement,conseils,santé,rédiger,concerner,3
produit,santé,fournisseur,faire,supprimer,professionnel,3
activité,tarification,santé,social,sécurité,pouvoir,3
établissement,santé,caqe,devoir,rédiger,prévoir,3
référence,substituer,erreur,substituer,erreur,référence,3
qualité,insérer,vie,sécurité,vise,degré,3
politique,familial,famille,pouvoir,vise,public,3
droit,allocation,sécurité,vise,rédiger,dispositif,3
référence,vise,bénéficiaire,santé,national,disposition,3
professionnel,maladie,social,sécurité,santé,devoir,3
année,juillet,entreprise,social,sécurité,pouvoir,3
association,accord,perte,social,sécurité,vise,3
professionnel,ordre,santé,sécurité,devoir,insérer,3
régime,supprimer,retraite,devoir,vise,général,3
entreprise,degré,réduction,pouvoir,rédiger,dispositif,3
professionnel,santé,activité,public,financement,dispositif,3
établissement,santé,répartition,devoir,vise,faire,3
public,rupture,conventionnel,social,faire,supprimer,3
acteur,pénurie,prendre,sécurité,pouvoir,santé,3
région,psychiatre,objectif,faire,insérer,charge,3
dotation,parlement,établissement,vise,public,rédiger,3
patient,devoir,accès,santé,état,général,3
autonomie,accès,prestation,social,vise,permettre,3
public,privé,établissement,social,pouvoir,insérer,3
pourcent,taux,contribution,social,sécurité,public,3
établissement,mise,calcul,social,sécurité,pouvoir,3
urgence,supprimer,mettre,pouvoir,santé,devoir,3
prestation,million,inégalité,faire,supprimer,proposer,3
entreprise,travail,supprimer,sécurité,pouvoir,devoir,3
prix,médicament,degré,devoir,insérer,rédiger,3
revalorisation,social,prestation,permettre,année,national,3
établissement,femme,zone,pouvoir,devoir,faire,3
agir,aidant,nombre,pouvoir,insérer,perte,3
sportif,consultation,pratique,pouvoir,vise,dispositif,3
prestation,social,inflation,sécurité,supprimer,général,3
revenu,part,degré,devoir,permettre,faire,3
représentant,degré,prise,devoir,faire,public,3
prix,santé,convention,permettre,rédiger,dispositif,3
allocation,enfant,aeeh,santé,devoir,permettre,3
prestation,social,délivrer,sécurité,prévoir,état,3
économique,novembre,février,sécurité,devoir,faire,3
revenu,santé,substituer,social,montant,viser,3
produit,information,santé,faire,rédiger,financement,3
aeeh,concertation,famille,faire,supprimer,titre,3
an,année,réforme,permettre,insérer,national,3
prestation,familial,conduire,vise,insérer,rédiger,3
prestation,charge,prise,social,sécurité,soin,3
pouvoir,supprimer,quotidiennement,vise,année,raison,3
aeeh,concertation,devoir,pouvoir,faire,prévoir,3
recherche,produit,public,pouvoir,permettre,faire,3
décision,retraite,retraité,social,pouvoir,charge,3
entreprise,pharmaceutique,lot,insérer,national,perte,3
social,sécurité,allégement,pouvoir,faire,supprimer,3
recherche,médicament,investissement,social,sécurité,santé,3
recherche,médicament,investissement,santé,devoir,compléter,3
social,sécurité,état,santé,vise,faire,3
professionnel,travail,maladie,sécurité,santé,devoir,3
aidant,décès,aider,pouvoir,vise,permettre,3
autonomie,branche,supplémentaire,santé,permettre,faire,3
suivi,représentant,acteur,santé,vise,compléter,3
téléconsultation,soin,parcours,permettre,faire,insérer,3
option,professionnel,supprimer,social,sécurité,permettre,3
développement,public,santé,insérer,rédiger,compléter,3
enfant,médecin,sportif,social,permettre,prévoir,3
transparence,médicament,prix,santé,devoir,permettre,3
ophtalmologiste,opticien,expérimentation,social,sécurité,public,3
famille,enfant,cause,permettre,insérer,maladie,3
biologie,médical,laboratoire,prévoir,dernier,professionnel,3
ondam,hospitalier,supprimer,pouvoir,devoir,vise,3
état,budget,santé,faire,supprimer,public,3
offre,fonds,indemnisation,pouvoir,santé,vise,3
obésité,ambulance,transport,sécurité,vise,faire,3
familial,famille,prestation,social,sécurité,prévoir,3
salarié,entreprise,seuil,sécurité,devoir,compléter,3
évaluation,prestation,fraude,sécurité,santé,insérer,3
accueil,faire,syndicat,social,sécurité,devoir,3
santé,expérimentation,régional,pouvoir,devoir,public,3
santé,centre,exercice,vise,charge,compléter,3
étude,réaliser,transfert,social,pouvoir,devoir,3
famille,parent,entreprise,devoir,rédiger,charge,3
santé,contrat,complémentaire,social,sécurité,vise,3
présence,parental,disposition,vise,prévoir,charge,3
santé,degré,transparence,vise,permettre,public,3
famille,supprimer,maladie,social,sécurité,degré,3
santé,encadrement,cadre,social,sécurité,faire,3
familial,handicap,prestation,pouvoir,devoir,faire,3
participation,urgence,degré,pouvoir,santé,devoir,3
part,majorer,supplémentaire,devoir,permettre,rédiger,3
public,patient,dispositif,santé,prévoir,charge,3
autonomie,droit,garantir,pouvoir,insérer,degré,3
autonomie,droit,universel,social,insérer,degré,3
réparation,indemnisation,intégral,charge,dispositif,compléter,3
éviter,bonus,malus,social,sécurité,dispositif,3
accès,médicament,patient,devoir,compléter,droit,3
médicament,recherche,matière,permettre,public,compléter,3
aah,retraite,disposition,pouvoir,devoir,vise,3
organisme,contribution,complémentaire,santé,compléter,maladie,3
famille,pourcent,familial,social,sécurité,perte,3
autonomie,service,public,devoir,insérer,degré,3
urgence,degré,participation,pouvoir,devoir,supprimer,3
rôle,mission,maison,social,compléter,contribution,3
médicament,sang,dériver,santé,vise,public,3
organisme,contribution,régime,pouvoir,santé,compléter,3
état,usage,dispositif,sécurité,pouvoir,devoir,3
organisme,numéro,décembre,devoir,vise,supprimer,3
stock,médicament,santé,pouvoir,santé,vise,2
social,entreprise,emploi,devoir,vise,permettre,2
social,cotisation,sécurité,pouvoir,financement,compléter,2
enfant,allocation,autonomie,sécurité,devoir,vise,2
honoraire,pourcent,médecin,social,sécurité,insérer,2
entreprise,spécialité,stock,faire,prévoir,dispositif,2
social,européen,travailleur,pouvoir,devoir,vise,2
social,csg,revenu,degré,maladie,proposer,2
soutien,part,apporter,devoir,insérer,financement,2
sportif,consultation,pratique,pouvoir,dispositif,proposer,2
hôpital,proximité,activité,faire,supprimer,conséquence,2
ssiad,infirmier,acte,vise,insérer,rédiger,2
enfant,allocation,famille,pouvoir,vise,supprimer,2
entreprise,pouvoir,cotisation,vise,prévoir,charge,2
ssiad,indu,infirmier,social,pouvoir,insérer,2
social,exonération,sécurité,devoir,vise,permettre,2
enfant,social,allocation,sécurité,pouvoir,vise,2
social,devoir,entreprise,faire,rédiger,charge,2
ssiad,acte,indu,insérer,rédiger,soin,2
social,degré,sécurité,pouvoir,devoir,vise,2
social,degré,revenu,pouvoir,devoir,vise,2
entreprise,effectif,salarié,pouvoir,permettre,maladie,2
enfant,pesticide,cancer,social,sécurité,charge,2
indemnisation,fonds,délai,vise,rédiger,terme,2
social,devoir,maritime,vise,prévoir,droit,2
entreprise,marché,économique,vise,dispositif,compléter,2
incapacité,social,travail,pouvoir,soin,nouveau,2
social,degré,prévoir,vise,droit,général,2
social,date,janvier,sécurité,vise,supprimer,2
social,csg,revenu,pouvoir,degré,maladie,2
hôpital,public,année,permettre,financement,compléter,2
social,sécheresse,subir,pouvoir,permettre,faire,2
fraude,social,travail,faire,prévoir,mettre,2
entreprise,supprimer,suppression,vise,supprimer,dispositif,2
heure,supplémentaire,travail,rédiger,charge,dispositif,2
faire,substituer,pouvoir,pouvoir,devoir,vise,2
faire,obligation,déclaration,pouvoir,supprimer,mettre,2
social,sécurité,exonération,vise,permettre,dispositif,2
social,sécurité,français,devoir,financement,pourcent,2
financement,réforme,année,social,sécurité,santé,2
expérimentation,service,financier,social,pouvoir,permettre,2
financement,rétablir,état,social,sécurité,vise,2
social,public,ehpad,rédiger,charge,compléter,2
financement,établissement,santé,faire,compléter,concerner,2
social,prévoir,politique,pouvoir,devoir,vise,2
financier,acos,social,permettre,financement,droit,2
fixer,insérer,annuellement,vise,permettre,insérer,2
fonctionnement,dépense,dette,financement,soin,condition,2
fonctionnement,établissement,dépense,devoir,public,insérer,2
expérimentation,santé,projet,public,nouveau,proposer,2
familial,allocation,adopter,pouvoir,faire,conséquence,2
financement,rédaction,montant,degré,maladie,national,2
financement,expérimentation,modèle,proposer,établissement,an,2
social,sécurité,budget,vise,faire,prévoir,2
social,supprimer,vise,sécurité,devoir,vise,2
social,supprimer,supprime,sécurité,vise,supprimer,2
social,supprimer,fin,social,supprimer,national,2
femme,sage,arrêt,social,sécurité,santé,2
feu,prise,retraite,social,sécurité,vise,2
femme,arrêt,sage,vise,permettre,faire,2
famille,parent,taux,devoir,vise,charge,2
financement,bilan,social,pouvoir,devoir,permettre,2
famille,parent,indemnité,pouvoir,devoir,supprimer,2
social,smic,exonération,pouvoir,devoir,permettre,2
famille,familial,prestation,santé,devoir,insérer,2
social,cotisation,section,permettre,insérer,rédiger,2
financement,activité,année,vise,permettre,prévoir,2
social,sécurité,cotisation,santé,devoir,supprimer,2
social,pouvoir,police,sécurité,rédiger,compléter,2
social,sécurité,heure,devoir,supprimer,droit,2
social,sécurité,heure,public,droit,pourcent,2
soin,autonomie,acte,santé,devoir,vise,2
examen,prestation,demande,pouvoir,vise,supprimer,2
social,heure,cotisation,devoir,vise,faire,2
examen,médical,réalisation,sécurité,permettre,faire,2
social,fraude,supprimer,sécurité,pouvoir,vise,2
examen,médical,pratiquant,social,sécurité,compléter,2
social,fraude,prestation,sécurité,devoir,permettre,2
européen,situer,territoire,sécurité,insérer,national,2
fédération,médical,santé,pouvoir,vise,charge,2
social,français,sécurité,vise,financement,état,2
générique,médicament,prix,social,sécurité,permettre,2
soin,hospitalier,déterminer,devoir,vise,insérer,2
social,faire,sécurité,devoir,public,rédiger,2
soin,politique,cohérence,social,santé,devoir,2
heure,rémunération,salarié,vise,permettre,faire,2
soin,ambulatoire,virage,santé,mois,compter,2
social,état,sécurité,supprimer,prévoir,concerner,2
social,sécurité,indépendant,devoir,vise,permettre,2
forfait,modalité,périmètre,vise,état,établissement,2
fonds,degré,allocation,social,sécurité,rédiger,2
expérimentation,financement,sécurité,rédiger,compléter,ensemble,2
social,paritarisme,branche,santé,devoir,faire,2
social,sécurité,pouvoir,santé,perte,an,2
social,sécurité,prévoir,faire,financement,général,2
forfait,mise,santé,pouvoir,public,charge,2
exposition,prise,charge,santé,ensemble,mois,2
social,janvier,perte,sécurité,permettre,faire,2
social,organisme,protection,sécurité,devoir,état,2
exposition,prise,charge,santé,compléter,ensemble,2
français,étranger,existence,vise,permettre,rédiger,2
exonération,social,salaire,pouvoir,permettre,charge,2
exonération,pourcent,mois,pouvoir,permettre,droit,2
exonération,cotisation,social,pouvoir,vise,permettre,2
famille,familial,prestation,insérer,prévoir,charge,2
médecin,santé,libéral,pouvoir,permettre,faire,2
social,cotisation,section,permettre,faire,rédiger,2
région,dotation,distance,social,soin,proposer,2
patient,pénurie,médicament,pouvoir,devoir,public,2
patient,seuil,insérer,vise,permettre,insérer,2
régime,réserve,prévoyance,social,sécurité,supprimer,2
pension,alimentaire,paiement,social,sécurité,devoir,2
permettre,santé,contribution,social,sécurité,vise,2
personnel,médical,social,année,cadre,concerner,2
pharmacien,nicotinique,santé,public,insérer,rédiger,2
pièce,détachée,réparation,faire,dispositif,compléter,2
place,nombre,france,permettre,faire,état,2
pluriannuel,ressource,répartition,santé,insérer,relatif,2
politique,public,santé,pouvoir,santé,faire,2
pourcent,branche,autonomie,social,santé,faire,2
pourcent,collectivité,national,social,sécurité,devoir,2
pourcent,correspondre,supprimer,social,sécurité,devoir,2
pourcent,csg,taux,sécurité,pouvoir,vise,2
pourcent,dépassement,tarif,faire,rédiger,prévoir,2
référence,fin,substituer,substituer,fin,référence,2
pourcent,santé,vaccinal,vise,faire,public,2
pourcent,social,impôt,devoir,vise,supprimer,2
rédiger,fin,décembre,rédiger,national,fin,2
pourcent,taux,complémentaire,social,sécurité,permettre,2
pourcent,taux,nombre,financement,compléter,droit,2
pourcent,taux,organisme,social,sécurité,vise,2
région,arrêté,santé,social,sécurité,degré,2
régional,santé,projet,vise,faire,insérer,2
santé,centre,exercice,vise,charge,nouveau,2
patient,expérimentation,évaluation,sécurité,permettre,public,2
nombre,urgence,ligne,vise,public,nouveau,2
santé,activité,taxe,devoir,charge,financement,2
sanitaire,groupement,coopération,social,pouvoir,santé,2
sanction,travail,dissimulé,social,vise,supprimer,2
sanction,travail,dissimulé,social,permettre,substituer,2
salarié,entreprise,employeur,sécurité,vise,insérer,2
occurrence,santé,supprimer,santé,supprimer,national,2
offre,médical,accès,sécurité,faire,public,2
ondam,montant,pourcent,financement,maladie,national,2
ondam,supprimer,travaille,supprimer,national,nouveau,2
opticien,ophtalmologiste,pouvoir,social,sécurité,public,2
saisie,conservatoire,insérer,social,sécurité,devoir,2
organisation,prévoit,dotation,pouvoir,devoir,supprimer,2
organisme,assurance,pourcent,social,sécurité,prévoir,2
organisme,complémentaire,assurance,rédiger,pourcent,national,2
organisme,régir,assurance,santé,compléter,pourcent,2
orientation,santé,sécurité,pouvoir,permettre,faire,2
ostéoporose,dépistage,an,social,sécurité,pouvoir,2
répartition,médicament,million,droit,maladie,état,2
réparation,indemnisation,intégral,insérer,charge,dispositif,2
rémunération,supprimer,suppression,supprimer,dispositif,droit,2
rémunération,pourcent,csg,social,pouvoir,vise,2
rémunération,maison,naissance,santé,devoir,vise,2
rédiger,début,degré,social,sécurité,rédiger,2
pouvoir,aide,substituer,devoir,dispositif,maladie,2
