,Mot Nº1,Mot Nº2,Mot Nº3,Mot Nº4,Mot Nº5,Mot Nº6,Mot Nº7,Mot Nº8,Mot Nº9,Mot Nº10
AMANR5L15PO420120B2296P0D1N000061,"('dispositif', 6)","('sécurité', 5)","('pouvoir', 4)","('risque', 4)","('médical', 3)","('confort', 3)","('supprimer', 2)","('état', 2)","('apparait', 2)","('sanitaire', 2)"
AMANR5L15PO420120B2296P0D1N000066,"('professionnel', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('libéral', 4)","('affilié', 4)","('régime', 4)","('code', 3)","('social', 3)","('taux', 3)"
AMANR5L15PO420120B2296P0D1N000069,"('professionnel', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('libéral', 4)","('affilié', 4)","('régime', 4)","('code', 3)","('social', 3)","('taux', 3)"
AMANR5L15PO420120B2296P0D1N000074,"('article', 9)","('social', 8)","('code', 7)","('sécurité', 7)","('mentionner', 6)","('cotisation', 5)","('patronal', 5)","('salarié', 4)","('montant', 4)","('général', 3)"
AMANR5L15PO420120B2296P0D1N000076,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('contemporanéité', 2)","('impôt', 2)","('mentionner', 2)","('participation', 2)","('financier', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B2296P0D1N000079,"('social', 10)","('établissement', 7)","('service', 7)","('article', 5)","('code', 4)","('acte', 4)","('soin', 3)","('règle', 3)","('possibilité', 2)","('cadre', 2)"
AMANR5L15PO420120B2296P0D1N000083,"('article', 9)","('social', 8)","('code', 7)","('sécurité', 7)","('mentionner', 6)","('cotisation', 5)","('patronal', 5)","('salarié', 4)","('montant', 4)","('général', 3)"
AMANR5L15PO420120B2296P0D1N000091,"('intervention', 5)","('mode', 4)","('prestataire', 2)","('définir', 2)","('intégrer', 2)","('expérimentation', 2)","('domicile', 2)","('emploi', 2)","('direct', 2)","('substituer', 1)"
AMANR5L15PO420120B2296P0D1N000092,"('service', 3)","('domicile', 3)","('appel', 3)","('prestataire', 3)","('utilisateur', 3)","('modalité', 2)","('accès', 2)","('compléter', 1)","('mise', 1)","('place', 1)"
AMANR5L15PO420120B2296P0D1N000093,"('santé', 5)","('public', 3)","('accord', 3)","('préalable', 3)","('moment', 2)","('motif', 2)","('code', 2)","('permettre', 2)","('assurance', 2)","('maladie', 2)"
AMANR5L15PO420120B2296P0D1N000094,"('santé', 4)","('prévoir', 3)","('code', 3)","('accord', 3)","('préalable', 3)","('moment', 2)","('public', 2)","('permettre', 2)","('assurance', 2)","('maladie', 2)"
AMANR5L15PO420120B2296P0D1N000095,"('produit', 15)","('contribution', 14)","('charcuterie', 10)","('mentionner', 7)","('état', 7)","('degré', 6)","('européen', 6)","('destiner', 5)","('additif', 5)","('partie', 4)"
AMANR5L15PO420120B2296P0D1N000096,"('recherche', 7)","('public', 5)","('médicament', 4)","('développement', 4)","('prix', 4)","('investissement', 3)","('financement', 3)","('crédit', 3)","('impôt', 3)","('biomédical', 2)"
AMANR5L15PO420120B2296P0D1N000097,"('taux', 3)","('pourcent', 3)","('article', 2)","('code', 2)","('sécurité', 2)","('social', 2)","('année', 2)","('système', 2)","('rémunération', 2)","('imposer', 2)"
AMANR5L15PO420120B2296P0D1N000098,"('offre', 3)","('spécialité', 2)","('soin', 2)","('libéral', 2)","('insérer', 1)","('répondre', 1)","('besoin', 1)","('population', 1)","('mettre', 1)","('place', 1)"
AMANR5L15PO420120B2296P0D1N000101,"('sportif', 7)","('médical', 5)","('autoévaluation', 4)","('examen', 4)","('toutefois', 3)","('exercer', 3)","('autorité', 3)","('parental', 3)","('preuve', 3)","('écrite', 3)"
AMANR5L15PO420120B2296P0D1N000106,"('accueil', 3)","('collectivité', 2)","('territorial', 2)","('opérateur', 2)","('priver', 2)","('gestionnaire', 2)","('public', 2)","('enfant', 2)","('référence', 1)","('art', 1)"
AMANR5L15PO420120B2296P0D1N000108,"('médical', 6)","('dispositif', 5)","('mécanisme', 5)","('clause', 4)","('sauvegarde', 4)","('sus', 4)","('soin', 4)","('dépense', 4)","('entreprise', 4)","('place', 3)"
AMANR5L15PO420120B2296P0D1N000111,"('charge', 3)","('article', 2)","('prise', 2)","('dispositif', 2)","('utiliser', 2)","('fauteuil', 2)","('roulant', 2)","('consigne', 2)","('disposition', 2)","('supprimer', 1)"
AMANR5L15PO420120B2296P0D1N000112,"('professionnel', 6)","('maladie', 4)","('article', 3)","('social', 3)","('travail', 3)","('entreprise', 3)","('risque', 3)","('mieux', 3)","('code', 2)","('voie', 2)"
AMANR5L15PO420120B2296P0D1N000113,"('travail', 3)","('pathologie', 2)","('psychique', 2)","('lier', 2)","('professionnel', 2)","('maladie', 2)","('second', 1)","('article', 1)","('code', 1)","('sécurité', 1)"
AMANR5L15PO420120B2296P0D1N000116,"('établissement', 3)","('acte', 3)","('sanction', 2)","('ars', 2)","('objectif', 2)","('logique', 2)","('directeur', 2)","('général', 2)","('possibilité', 2)","('prescription', 2)"
AMANR5L15PO420120B2296P0D1N000117,"('pourcent', 3)","('taux', 2)","('fin', 1)","('substituer', 1)","('pouvoir', 1)","('achat', 1)","('retraité', 1)","('mettre', 1)","('mal', 1)","('gouvernemental', 1)"
AMANR5L15PO420120B2296P0D1N000118,"('article', 4)","('prestation', 4)","('social', 4)","('inflation', 3)","('prévoir', 2)","('revalorisation', 2)","('retraite', 2)","('inférieur', 2)","('pourcent', 2)","('pouvoir', 2)"
AMANR5L15PO420120B2296P0D1N000120,"('médical', 4)","('article', 3)","('sportif', 3)","('problème', 3)","('accès', 3)","('supprime', 2)","('certificat', 2)","('obligatoire', 2)","('pratique', 2)","('indispensable', 2)"
AMANR5L15PO420120B2296P0D1N000121,"('prix', 7)","('médicament', 5)","('révision', 5)","('degré', 4)","('cas', 4)","('vente', 3)","('an', 3)","('sécurité', 2)","('social', 2)","('bis', 2)"
AMANR5L15PO420120B2296P0D1N000125,"('médecin', 6)","('libéral', 6)","('article', 5)","('zone', 5)","('installation', 5)","('santé', 4)","('médical', 4)","('dispositif', 3)","('code', 2)","('conventionnemer', 2)"
AMANR5L15PO420120B2296P0D1N000126,"('impact', 2)","('qualité', 2)","('vie', 2)","('travail', 2)","('personnel', 2)","('établissement', 2)","('santé', 2)","('délai', 1)","('an', 1)","('compter', 1)"
AMANR5L15PO420120B2296P0D1N000127,"('hospitalier', 4)","('soin', 4)","('impact', 2)","('groupement', 2)","('territoire', 2)","('regard', 2)","('offre', 2)","('public', 2)","('condition', 2)","('travail', 2)"
AMANR5L15PO420120B2296P0D1N000130,"('soin', 4)","('ambulatoire', 3)","('virage', 2)","('impact', 2)","('offre', 2)","('public', 2)","('qualité', 2)","('condition', 2)","('travail', 2)","('personnel', 2)"
AMANR5L15PO420120B2296P0D1N000132,"('exonération', 5)","('social', 4)","('évaluation', 4)","('dispositif', 3)","('cotisation', 3)","('impact', 2)","('emploi', 2)","('salaire', 2)","('investissement', 2)","('entreprise', 2)"
AMANR5L15PO420120B2296P0D1N000133,"('taux', 3)","('pourcent', 3)","('csg', 3)","('article', 2)","('code', 2)","('sécurité', 2)","('social', 2)","('pension', 2)","('retraite', 2)","('subir', 2)"
AMANR5L15PO420120B2296P0D1N000134,"('taux', 3)","('pourcent', 3)","('social', 2)","('action', 2)","('gratuit', 2)","('début', 1)","('degré', 1)","('article', 1)","('code', 1)","('sécurité', 1)"
AMANR5L15PO420120B2296P0D1N000135,"('contribution', 4)","('solidarité', 3)","('actionnaire', 3)","('pourcent', 3)","('degré', 2)","('bis', 2)","('dividende', 2)","('financer', 2)","('cnsa', 2)","('pouvoir', 2)"
AMANR5L15PO420120B2296P0D1N000136,"('entreprise', 3)","('salarié', 3)","('rémunération', 3)","('salaire', 3)","('social', 2)","('réduction', 2)","('pourcent', 2)","('cotisation', 2)","('patronal', 2)","('article', 1)"
AMANR5L15PO420120B2296P0D1N000137,"('dispositif', 6)","('social', 5)","('cotisation', 4)","('article', 3)","('sécurité', 3)","('exonération', 3)","('réduction', 2)","('code', 1)","('insérer', 1)","('rédiger', 1)"
AMANR5L15PO420120B2296P0D1N000138,"('public', 4)","('établissement', 3)","('article', 2)","('code', 2)","('général', 2)","('impôt', 2)","('santé', 2)","('taxe', 2)","('salaire', 2)","('devoir', 2)"
AMANR5L15PO420120B2296P0D1N000139,"('social', 7)","('cotisation', 4)","('section', 3)","('sécurité', 3)","('revenu', 3)","('financier', 3)","('société', 3)","('contribution', 3)","('taux', 3)","('code', 2)"
AMANR5L15PO420120B2296P0D1N000140,"('article', 18)","('social', 8)","('relatif', 6)","('code', 4)","('degré', 4)","('janvier', 4)","('cotisation', 4)","('supprimer', 4)","('numéro', 4)","('sécurité', 3)"
AMANR5L15PO420120B2296P0D1N000141,"('article', 3)","('code', 2)","('distribuer', 2)","('bénéfice', 2)","('entreprise', 2)","('sécurité', 1)","('social', 1)","('compléter', 1)","('rédiger', 1)","('disposition', 1)"
AMANR5L15PO420120B2296P0D1N000142,"('article', 3)","('compter', 3)","('janvier', 3)","('assurance', 3)","('maladie', 3)","('code', 2)","('sécurité', 2)","('social', 2)","('modifier', 2)","('degré', 2)"
AMANR5L15PO420120B2296P0D1N000143,"('social', 4)","('csg', 3)","('revenu', 3)","('augmenter', 3)","('point', 3)","('sécurité', 2)","('taux', 2)","('pourcent', 2)","('financer', 2)","('capital', 2)"
AMANR5L15PO420120B2296P0D1N000144,"('social', 3)","('sécurité', 2)","('chiffre', 2)","('allègement', 2)","('rémunération', 2)","('fois', 2)","('recette', 2)","('milliard', 2)","('euro', 2)","('nouveau', 2)"
AMANR5L15PO420120B2296P0D1N000145,"('salarié', 5)","('prime', 5)","('social', 5)","('entreprise', 5)","('cotisation', 3)","('intéressemer', 3)","('exceptionnel', 2)","('salaire', 2)","('pouvoir', 2)","('grand', 2)"
AMANR5L15PO420120B2296P0D1N000146,"('social', 11)","('sécurité', 7)","('perte', 4)","('recette', 4)","('compensation', 3)","('exonération', 2)","('faire', 2)","('état', 2)","('euro', 2)","('supprimer', 1)"
AMANR5L15PO420120B2296P0D1N000148,"('produit', 7)","('santé', 5)","('fournisseur', 4)","('distributeur', 4)","('détail', 4)","('comité', 4)","('économique', 4)","('devoir', 4)","('prestation', 3)","('cadre', 3)"
AMANR5L15PO420120B2296P0D1N000149,"('commission', 2)","('médical', 2)","('indépendant', 2)","('existence', 2)","('lien', 2)","('exposition', 2)","('survenue', 2)","('pathologie', 2)","('prévoir', 2)","('dispositif', 2)"
AMANR5L15PO420120B2296P0D1N000151,"('délai', 4)","('indemnisation', 3)","('mois', 2)","('compter', 2)","('demande', 2)","('fonds', 2)","('début', 1)","('substituer', 1)","('fixer', 1)","('décret', 1)"
AMANR5L15PO420120B2296P0D1N000152,"('produit', 3)","('taxe', 3)","('début', 2)","('insérer', 2)","('priorité', 2)","('solde', 2)","('phytosanitaire', 2)","('affecter', 2)","('environnement', 2)","('vise', 1)"
AMANR5L15PO420120B2296P0D1N000154,"('prise', 2)","('charge', 2)","('dispositif', 2)","('médical', 2)","('pouvoir', 2)","('supprimer', 1)","('assurer', 1)","('engagement', 1)","('restituer', 1)","('concerner', 1)"
AMANR5L15PO420120B2296P0D1N000155,"('choix', 3)","('libre', 2)","('rédiger', 1)","('degré', 1)","('garantir', 1)","('respect', 1)","('essentiel', 1)","('faire', 1)","('texte', 1)","('législatif', 1)"
AMANR5L15PO420120B2296P0D1N000156,"('terme', 2)","('substituer', 1)","('pouvoir', 1)","('proposer', 1)","('supprimer', 1)","('remplacer', 1)","('garantir', 1)","('meilleur', 1)","('état', 1)","('usage', 1)"
AMANR5L15PO420120B2296P0D1N000162,"('délai', 2)","('fixer', 2)","('mois', 2)","('réception', 2)","('demande', 2)","('indemnisation', 2)","('début', 1)","('substituer', 1)","('décret', 1)","('conseil', 1)"
AMANR5L15PO420120B2296P0D1N000164,"('professionnel', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('libéral', 4)","('affilié', 4)","('régime', 4)","('code', 3)","('social', 3)","('taux', 3)"
AMANR5L15PO420120B2296P0D1N000167,"('ondam', 5)","('montant', 4)","('pourcent', 4)","('hospitalier', 3)","('ligne', 2)","('second', 2)","('colonne', 2)","('tableau', 2)","('substituer', 2)","('objectif', 2)"
AMANR5L15PO420120B2296P0D1N000169,"('charge', 9)","('patient', 8)","('pied', 6)","('diabétique', 6)","('prise', 5)","('diabète', 4)","('assurance', 3)","('maladie', 3)","('cahier', 3)","('établissement', 3)"
AMANR5L15PO420120B2296P0D1N000170,"('pharmacien', 6)","('substitution', 5)","('médicament', 4)","('article', 3)","('biologique', 3)","('prescripteur', 3)","('cadre', 3)","('prévoir', 2)","('condition', 2)","('décret', 2)"
AMANR5L15PO420120B2296P0D1N000174,"('terme', 2)","('obligation', 2)","('substituer', 1)","('pouvoir', 1)","('proposer', 1)","('supprimer', 1)","('remplacer', 1)","('devoir', 1)","('renforcer', 1)","('garantie', 1)"
AMANR5L15PO420120B2296P0D1N000179,"('article', 3)","('code', 3)","('santé', 3)","('permettre', 2)","('assurance', 2)","('maladie', 2)","('uncam', 2)","('accord', 2)","('préalable', 2)","('disposition', 2)"
AMANR5L15PO420120B2296P0D1N000180,"('maladie', 3)","('rare', 3)","('atu', 2)","('patient', 2)","('atteindre', 2)","('traitement', 2)","('bénéficier', 2)","('actuellement', 2)","('supprimer', 1)","('autorisation', 1)"
AMANR5L15PO420120B2296P0D1N000181,"('expérimentation', 5)","('article', 4)","('code', 3)","('service', 3)","('contemporanéité', 2)","('impôt', 2)","('mentionner', 2)","('participation', 2)","('financier', 2)","('bénéficiaire', 2)"
AMANR5L15PO420120B2296P0D1N000182,"('prise', 2)","('charge', 2)","('dispositif', 2)","('médical', 2)","('pouvoir', 2)","('supprimer', 1)","('assurer', 1)","('engagement', 1)","('restituer', 1)","('concerner', 1)"
AMANR5L15PO420120B2296P0D1N000183,"('choix', 3)","('libre', 2)","('rédiger', 1)","('degré', 1)","('garantir', 1)","('respect', 1)","('essentiel', 1)","('faire', 1)","('texte', 1)","('législatif', 1)"
AMANR5L15PO420120B2296P0D1N000184,"('terme', 2)","('substituer', 1)","('pouvoir', 1)","('proposer', 1)","('supprimer', 1)","('remplacer', 1)","('garantir', 1)","('meilleur', 1)","('état', 1)","('usage', 1)"
AMANR5L15PO420120B2296P0D1N000189,"('santé', 7)","('prévention', 6)","('sportif', 5)","('visite', 4)","('médical', 4)","('certificat', 4)","('enfant', 4)","('pratique', 4)","('supprimer', 3)","('article', 3)"
AMANR5L15PO420120B2296P0D1N000199,"('offre', 3)","('spécialité', 2)","('soin', 2)","('libéral', 2)","('insérer', 1)","('répondre', 1)","('besoin', 1)","('population', 1)","('mettre', 1)","('place', 1)"
AMANR5L15PO420120B2296P0D1N000204,"('professionnel', 6)","('article', 5)","('santé', 5)","('sécurité', 4)","('social', 4)","('libéral', 4)","('affilié', 4)","('régime', 4)","('code', 3)","('taux', 3)"
AMANR5L15PO420120B2296P0D1N000212,"('dépense', 10)","('soin', 7)","('ville', 7)","('objectif', 3)","('mécanisme', 3)","('régulation', 3)","('article', 2)","('sécurité', 2)","('social', 2)","('maitrise', 2)"
AMANR5L15PO420120B2296P0D1N000215,"('hôpital', 6)","('proximité', 6)","('activité', 4)","('financement', 4)","('ressource', 4)","('volume', 3)","('modèle', 3)","('stabilité', 3)","('assurer', 2)","('garantie', 2)"
AMANR5L15PO420120B2296P0D1N000217,"('écart', 6)","('inégalité', 6)","('social', 5)","('réduction', 5)","('objectif', 5)","('ressource', 5)","('département', 4)","('public', 4)","('politique', 3)","('fixer', 3)"
AMANR5L15PO420120B2296P0D1N000227,"('patient', 2)","('seuil', 1)","('insérer', 1)","('établir', 1)","('fonction', 1)","('nombre', 1)","('cibl', 1)","('précision', 1)","('vise', 1)","('permettre', 1)"
AMANR5L15PO420120B2296P0D1N000228,"('fixer', 1)","('insérer', 1)","('annuellement', 1)","('précision', 1)","('vise', 1)","('permettre', 1)","('patient', 1)","('alternative', 1)","('thérapeutique', 1)","('bénéficier', 1)"
AMANR5L15PO420120B2296P0D1N000230,"('offre', 3)","('spécialité', 2)","('soin', 2)","('libéral', 2)","('insérer', 1)","('répondre', 1)","('besoin', 1)","('population', 1)","('mettre', 1)","('place', 1)"
AMANR5L15PO420120B2296P0D1N000235,"('médicament', 9)","('marché', 4)","('stock', 4)","('entreprise', 3)","('pharmaceutique', 3)","('exploiter', 3)","('liste', 3)","('national', 3)","('titulaire', 2)","('autorisation', 2)"
AMANR5L15PO420120B2296P0D1N000236,"('qualité', 7)","('insérer', 4)","('vie', 3)","('professionnel', 3)","('prendre', 3)","('association', 3)","('patient', 3)","('soin', 2)","('conséquence', 2)","('établissement', 2)"
AMANR5L15PO420120B2296P0D1N000249,"('famille', 7)","('familial', 7)","('prestation', 6)","('euro', 3)","('article', 2)","('million', 2)","('ensemble', 2)","('logement', 2)","('insérer', 1)","('degré', 1)"
AMANR5L15PO420120B2296P0D1N000250,"('famille', 6)","('parent', 4)","('entreprise', 4)","('ij', 3)","('article', 2)","('maladie', 2)","('taux', 2)","('pourcent', 2)","('agir', 2)","('droit', 2)"
AMANR5L15PO420120B2296P0D1N000251,"('code', 8)","('lpp', 7)","('individuel', 5)","('prévoir', 4)","('inscrire', 4)","('pouvoir', 4)","('remboursement', 4)","('base', 4)","('donnée', 4)","('article', 3)"
AMANR5L15PO420120B2296P0D1N000252,"('rédiger', 3)","('dispositif', 3)","('raison', 3)","('risque', 3)","('accès', 3)","('marché', 3)","('déjà', 3)","('disposition', 3)","('supprimer', 2)","('conséquence', 2)"
AMANR5L15PO420120B2296P0D1N000253,"('état', 3)","('supprimer', 2)","('dispositif', 2)","('pouvoir', 2)","('article', 1)","('prévoit', 1)","('médical', 1)","('remettre', 1)","('bon', 1)","('usage', 1)"
AMANR5L15PO420120B2296P0D1N000254,"('droit', 6)","('article', 5)","('distributeur', 4)","('détail', 4)","('produit', 4)","('prestation', 4)","('cep', 4)","('fournisseur', 3)","('auto', 3)","('incriminer', 3)"
AMANR5L15PO420120B2296P0D1N000255,"('charge', 6)","('patient', 6)","('consigne', 3)","('cas', 3)","('produit', 3)","('supprimer', 2)","('prise', 2)","('pouvoir', 2)","('disposition', 2)","('viser', 1)"
AMANR5L15PO420120B2296P0D1N000257,"('pouvoir', 2)","('aide', 2)","('substituer', 1)","('proposer', 1)","('remplacer', 1)","('expression', 1)","('terme', 1)","('garantir', 1)","('meilleur', 1)","('état', 1)"
AMANR5L15PO420120B2296P0D1N000259,"('médical', 3)","('supprimer', 2)","('article', 2)","('visite', 2)","('certificat', 2)","('vue', 1)","('obtention', 1)","('sport', 1)","('constitue', 1)","('enfant', 1)"
AMANR5L15PO420120B2296P0D1N000266,"('produit', 11)","('inscription', 8)","('dispositif', 7)","('article', 6)","('santé', 5)","('médicament', 5)","('médical', 5)","('fabricant', 5)","('notion', 5)","('application', 4)"
AMANR5L15PO420120B2296P0D1N000269,"('établissement', 4)","('service', 4)","('fédération', 3)","('représentatif', 3)","('sanitaire', 3)","('cadre', 3)","('sécurité', 2)","('social', 2)","('national', 2)","('uncam', 2)"
AMANR5L15PO420120B2296P0D1N000270,"('hôpital', 5)","('proximité', 5)","('activité', 4)","('financement', 4)","('volume', 3)","('ressource', 3)","('modèle', 2)","('stabilité', 2)","('garantie', 2)","('lier', 2)"
AMANR5L15PO420120B2296P0D1N000271,"('pharmacien', 4)","('nicotinique', 3)","('article', 2)","('santé', 2)","('compléter', 2)","('degré', 2)","('officin', 2)","('autoriser', 2)","('prescrire', 2)","('substitut', 2)"
AMANR5L15PO420120B2296P0D1N000275,"('innovation', 8)","('financement', 7)","('recherche', 7)","('établissement', 5)","('santé', 5)","('mission', 4)","('sein', 3)","('public', 3)","('crédit', 3)","('acte', 3)"
AMANR5L15PO420120B2296P0D1N000277,"('article', 5)","('mise', 5)","('degré', 4)","('réserve', 4)","('sécurité', 4)","('social', 4)","('santé', 3)","('soin', 3)","('ville', 3)","('code', 2)"
AMANR5L15PO420120B2296P0D1N000278,"('prix', 3)","('achat', 3)","('seuil', 2)","('fixer', 2)","('santé', 2)","('produit', 2)","('second', 1)","('occurrence', 1)","('médicament', 1)","('insérer', 1)"
AMANR5L15PO420120B2296P0D1N000280,"('public', 5)","('produit', 5)","('prix', 5)","('établissement', 4)","('fixation', 3)","('médicament', 2)","('code', 2)","('santé', 2)","('achat', 2)","('contrôle', 2)"
AMANR5L15PO420120B2296P0D1N000281,"('article', 5)","('code', 5)","('santé', 4)","('degré', 3)","('taxe', 3)","('mentionner', 3)","('générique', 3)","('insérer', 2)","('abattement', 2)","('titre', 2)"
AMANR5L15PO420120B2296P0D1N000282,"('atu', 7)","('montant', 6)","('charge', 6)","('prise', 5)","('article', 5)","('fixation', 5)","('médicament', 4)","('conséquence', 3)","('ministre', 3)","('indication', 3)"
AMANR5L15PO420120B2296P0D1N000288,"('employeur', 6)","('salarié', 5)","('article', 4)","('code', 4)","('travail', 4)","('charge', 4)","('coût', 4)","('remboursement', 4)","('devoir', 4)","('titre', 3)"
AMANR5L15PO420120B2296P0D1N000292,"('médicament', 8)","('pourcent', 6)","('taux', 5)","('million', 5)","('euro', 5)","('sécurité', 4)","('contribution', 4)","('social', 3)","('perte', 3)","('taxe', 3)"
AMANR5L15PO420120B2296P0D1N000293,"('médicament', 8)","('pourcent', 6)","('taux', 5)","('million', 5)","('euro', 5)","('sécurité', 4)","('contribution', 4)","('social', 3)","('perte', 3)","('taxe', 3)"
